GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "01000","Alabama",5,SAACARTSCOMP,1,"...","Total compensation ","Thousands of dollars",72064289,74160739,77096245,81601090,86372328,91134716,95277760,97630091,95329755,96818351,98900846,100361775,102164692,106010648,109998824,112845276,116600536,121575834,126954047,129861934,139345063,149074291,159025860
 "01000","Alabama",5,SAACARTSCOMP,10,"...","Total ACPSA compensation ","Thousands of dollars",2338956,2480433,2410218,2437707,2453610,2399397,2372754,2394588,2315861,2328369,2362930,2337250,2341890,2371045,2417256,2481098,2588983,2625631,2661260,2640069,2824183,3124455,3408051
 "01000","Alabama",5,SAACARTSCOMP,100,"..."," Core arts and cultural production ","Thousands of dollars",236070,246514,254741,260557,275608,293586,309018,329701,323195,306835,299602,324996,321859,343120,346602,362689,384687,413460,423713,412434,443102,495316,539197
 "01000","Alabama",5,SAACARTSCOMP,111,"...","  Performing arts companies ","Thousands of dollars",22629,19660,19511,20478,20267,19370,18564,19158,20815,20594,21236,19856,19607,21550,21358,23375,(D),(D),23981,(D),17783,21774,28458
 "01000","Alabama",5,SAACARTSCOMP,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",5433,10141,10362,8012,8132,9039,9280,10489,13941,14591,16290,19938,21855,23184,23073,25622,19580,20503,20482,14892,19471,30837,38709
 "01000","Alabama",5,SAACARTSCOMP,113,"...","  Agents/managers for artists ","Thousands of dollars",710,524,612,648,581,620,809,768,1016,1196,786,763,1015,980,861,884,813,904,1161,1304,1796,2103,2387
 "01000","Alabama",5,SAACARTSCOMP,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",5613,5834,8259,7689,10603,10692,8133,9504,8938,7922,7585,7179,9282,6744,7094,7863,8224,9275,9482,9757,10401,14613,13445
 "01000","Alabama",5,SAACARTSCOMP,120,"...","  Museums ","Thousands of dollars",7444,14597,(D),(D),(D),18370,(D),(D),(D),20949,(D),25557,28929,(D),(D),36723,39231,41995,46707,44242,36381,37575,47791
 "01000","Alabama",5,SAACARTSCOMP,131,"...","  Advertising ","Thousands of dollars",38789,37225,38528,43510,46564,49524,50933,57610,52757,56820,58048,60956,(D),66276,68449,(D),85689,91547,90636,84361,93157,104300,113586
 "01000","Alabama",5,SAACARTSCOMP,132,"...","  Architectural services ","Thousands of dollars",65153,63942,70402,72730,80927,91461,102884,106102,96740,77128,73305,73371,75382,73408,78587,79662,92082,101280,106689,114788,127244,127697,134485
 "01000","Alabama",5,SAACARTSCOMP,133,"...","  Landscape architectural services ","Thousands of dollars",5719,5434,5912,3935,3595,4660,4806,4912,4861,6311,5668,5768,6388,8204,7449,8204,8548,8577,8780,9202,9565,11079,12309
 "01000","Alabama",5,SAACARTSCOMP,134,"...","  Interior design services ","Thousands of dollars",5313,4941,4948,5085,5000,5790,7248,5936,4941,5372,4855,8106,5884,7950,8760,10930,12100,15073,16930,16664,18750,24058,30369
 "01000","Alabama",5,SAACARTSCOMP,135,"...","  Industrial design services ","Thousands of dollars",694,549,681,457,519,870,848,3721,4038,4140,3974,4472,2096,3012,3097,3612,5036,3799,3307,3202,5067,6700,5546
 "01000","Alabama",5,SAACARTSCOMP,136,"...","  Graphic design services ","Thousands of dollars",6597,6444,6921,7975,8387,8922,9374,10715,10685,11157,9837,14059,11248,16693,17946,17771,20819,22346,22181,22178,26855,28870,28086
 "01000","Alabama",5,SAACARTSCOMP,137,"...","  Computer systems design ","Thousands of dollars",9284,9772,10857,10995,11131,11487,13266,16285,16832,17551,18109,20308,19834,20563,20575,19803,13106,13282,11959,11604,10272,14635,15359
 "01000","Alabama",5,SAACARTSCOMP,138,"...","  Photography and photofinishing services ","Thousands of dollars",39575,41161,37807,34779,32765,29709,29893,29589,29812,28769,(D),(D),(D),(D),(D),(D),(D),(D),21334,18200,24182,24675,26457
 "01000","Alabama",5,SAACARTSCOMP,139,"...","  All other design services ","Thousands of dollars",748,863,705,901,880,892,1035,1129,1092,968,1061,1464,1166,1552,1223,919,1431,1597,1604,1404,2107,2803,3435
 "01000","Alabama",5,SAACARTSCOMP,140,"...","  Fine arts education ","Thousands of dollars",7155,6798,(D),(D),(D),12897,(D),(D),(D),13420,13048,(D),(D),12377,12474,13007,14862,17380,18089,(D),16265,20525,20699
 "01000","Alabama",5,SAACARTSCOMP,150,"...","  Education services ","Thousands of dollars",15212,18629,17500,18312,19141,19283,18639,18920,20343,19947,20295,21728,21970,21997,22459,20328,19150,20439,20392,22855,23806,23069,18074
 "01000","Alabama",5,SAACARTSCOMP,200,"..."," Supporting arts and cultural production ","Thousands of dollars",1989961,2117461,2040133,2058378,2053360,1977616,1930254,1932276,1865745,1904241,1946943,1902826,1912700,1916166,1951704,1995874,2082262,2085841,2105787,2094517,2239036,2470158,2698180
 "01000","Alabama",5,SAACARTSCOMP,211,"...","  Rental and leasing ","Thousands of dollars",20547,33387,28136,29420,25629,26959,24530,17287,15232,14211,9927,10286,11387,11440,11789,10881,11252,12025,11971,11578,12750,15287,16171
 "01000","Alabama",5,SAACARTSCOMP,212,"...","  Grantmaking and giving services ","Thousands of dollars",1584,1823,2206,2173,2410,1837,1970,1963,2238,2073,2407,2456,2449,2463,2607,2182,2003,2263,2659,2327,2743,3046,3301
 "01000","Alabama",5,SAACARTSCOMP,213,"...","  Unions ","Thousands of dollars",6476,5222,5305,5287,5441,6097,5678,5975,6255,6177,6662,6976,4880,4347,3882,3375,3146,3182,3141,3272,3521,3627,4039
 "01000","Alabama",5,SAACARTSCOMP,214,"...","  Government ","Thousands of dollars",1022057,1045069,994183,927878,884771,828421,785855,830161,863348,879291,883849,867670,880845,902144,928905,932903,966672,998990,1045189,1073154,1110862,1182268,1349951
 "01000","Alabama",5,SAACARTSCOMP,215,"...","  Other support services ","Thousands of dollars",609,453,536,573,517,688,809,781,(D),(D),603,625,583,637,747,709,1927,2088,2292,1457,1600,2035,1761
 "01000","Alabama",5,SAACARTSCOMP,221,"...","  Publishing ","Thousands of dollars",139377,141390,159320,161364,162900,163364,168130,168284,159453,139792,(D),(D),(D),(D),(D),(D),126079,(D),148554,145866,185098,220410,221465
 "01000","Alabama",5,SAACARTSCOMP,222,"...","  Motion pictures ","Thousands of dollars",24728,26541,30805,29067,29541,32012,35016,34618,37616,36792,37306,35818,32856,38343,45244,43099,50902,49183,74523,38433,52687,69035,82953
 "01000","Alabama",5,SAACARTSCOMP,223,"...","  Sound recording ","Thousands of dollars",2623,2359,1974,2756,2472,(D),2732,4640,4857,3871,3736,3080,3394,4451,4695,4184,4086,4775,(D),2899,3097,5295,4050
 "01000","Alabama",5,SAACARTSCOMP,224,"...","  Broadcasting ","Thousands of dollars",(D),(D),(D),(D),(D),367469,370936,377924,370281,364144,399225,396013,408507,424781,417482,411692,385010,387547,378899,359926,380753,314501,293724
 "01000","Alabama",5,SAACARTSCOMP,225,"...","  Other information services ","Thousands of dollars",(D),(D),(D),(D),10561,(D),12276,(D),(D),20101,(D),(D),21375,20849,(D),(D),(D),(D),(D),35028,62908,124849,128449
 "01000","Alabama",5,SAACARTSCOMP,231,"...","  Jewelry and silverware manufacturing ","Thousands of dollars",1492,1420,2185,2410,2944,3329,3171,4697,2904,2228,2253,2342,3267,3201,3883,4604,4244,4198,4753,4422,5091,5764,7420
 "01000","Alabama",5,SAACARTSCOMP,232,"...","  Printed goods manufacturing ","Thousands of dollars",(D),39479,(D),34259,34208,37451,42022,42780,(D),(D),28891,27937,29462,30228,29635,28336,26974,26095,26077,23440,22746,(D),(D)
 "01000","Alabama",5,SAACARTSCOMP,233,"...","  Musical instruments manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),0,0,(D),(D),0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D)
 "01000","Alabama",5,SAACARTSCOMP,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),28186,36786,41390,32340,28243,28537,(D),(D),(D),(D),(D),(D),(D),40817,(D),34785,37610,39919
 "01000","Alabama",5,SAACARTSCOMP,236,"...","  Other goods manufacturing ","Thousands of dollars",17503,16909,17253,19223,18918,22259,36597,30595,23285,22740,18971,18804,20021,21824,(D),24080,30796,29780,33711,35431,(D),42679,48920
 "01000","Alabama",5,SAACARTSCOMP,240,"...","  Construction ","Thousands of dollars",145314,192624,174000,204120,209310,156323,112431,60444,37823,99085,81709,73809,59336,26220,29045,74128,131314,101126,40874,50337,32147,33208,48388
 "01000","Alabama",5,SAACARTSCOMP,250,"...","  Wholesale and transportation industries ","Thousands of dollars",91126,90627,89296,97606,103607,119933,121506,126488,99039,99535,104704,98060,98509,95131,96992,101652,113882,109796,103212,112056,112537,113204,121889
 "01000","Alabama",5,SAACARTSCOMP,260,"...","  Retail industries ","Thousands of dollars",145444,157750,156200,161767,168412,167791,169807,168531,160943,158258,176199,169715,169804,166442,154957,161174,149302,151317,157176,156517,174745,272517,298400
 "01000","Alabama",5,SAACARTSCOMP,300,"..."," All other industries 2/","Thousands of dollars",112926,116457,115344,118772,124642,128195,133482,132611,126921,117294,116386,109427,107331,111759,118950,122535,122035,126330,131761,133119,142045,158982,170673
 "02000","Alaska",8,SAACARTSCOMP,1,"...","Total compensation ","Thousands of dollars",14887161,15712496,16529308,17458433,18591971,19598510,20786860,21813843,22539340,23168006,24464329,25731267,26354487,27135899,27821488,27190688,27155675,28291997,28963025,28318848,29279044,30864446,32980290
 "02000","Alaska",8,SAACARTSCOMP,10,"...","Total ACPSA compensation ","Thousands of dollars",718613,737609,721748,713770,699816,684974,719517,750244,763859,795437,808959,836965,850582,895493,907954,917353,923593,997578,1034533,1009201,1032073,1029349,1028382
 "02000","Alaska",8,SAACARTSCOMP,100,"..."," Core arts and cultural production ","Thousands of dollars",51876,52802,55818,54842,60099,62466,68472,67926,65423,65346,66043,70587,73906,77160,73108,71699,70712,73253,75572,73620,74816,86969,97445
 "02000","Alaska",8,SAACARTSCOMP,111,"...","  Performing arts companies ","Thousands of dollars",7567,6852,6181,4910,5077,4174,4014,3962,4357,4273,4712,5555,5623,6312,5368,6385,6621,6793,6954,5998,4180,5896,6968
 "02000","Alaska",8,SAACARTSCOMP,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",(D),(D),(D),1648,(D),1745,3395,3668,4176,3275,3512,3829,4195,4871,5067,5210,5448,5246,5449,4213,4323,6691,9039
 "02000","Alaska",8,SAACARTSCOMP,113,"...","  Agents/managers for artists ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,SAACARTSCOMP,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",3348,2396,2311,(D),2061,(D),(D),(D),2064,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,SAACARTSCOMP,120,"...","  Museums ","Thousands of dollars",4458,6906,6818,8141,9425,11516,12837,13314,10274,9158,9864,12580,14396,15611,14753,15453,17306,18095,17583,17723,14878,16966,22030
 "02000","Alaska",8,SAACARTSCOMP,131,"...","  Advertising ","Thousands of dollars",3812,3515,3253,3612,3922,4304,4674,5563,5176,5380,4901,(D),6736,(D),8125,7876,8650,8240,8649,(D),10187,12328,12621
 "02000","Alaska",8,SAACARTSCOMP,132,"...","  Architectural services ","Thousands of dollars",21583,21132,24486,24134,26218,26756,31082,28245,27036,26590,27141,26924,27389,27205,24160,20638,18089,19313,20010,21869,22098,22709,24272
 "02000","Alaska",8,SAACARTSCOMP,133,"...","  Landscape architectural services ","Thousands of dollars",(D),(D),1813,2208,2626,(D),(D),(D),(D),(D),(D),794,(D),(D),(D),(D),(D),(D),(D),(D),1003,907,(D)
 "02000","Alaska",8,SAACARTSCOMP,134,"...","  Interior design services ","Thousands of dollars",660,(D),863,(D),897,(D),(D),(D),722,706,(D),849,713,895,(D),(D),789,(D),974,814,912,1280,1344
 "02000","Alaska",8,SAACARTSCOMP,135,"...","  Industrial design services ","Thousands of dollars",0,0,0,(D),(D),(D),(D),(D),(D),0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,SAACARTSCOMP,136,"...","  Graphic design services ","Thousands of dollars",276,(D),468,(D),424,(D),197,158,229,(D),418,765,722,1602,2175,2320,1953,1698,1726,1705,2599,3496,4146
