"Year","Question","Area","Area_abbr","Demographics_Type","Demographics_Value","Percent","Low_Confidence_Interval","High_Confidence_Interval","Confidence_Interval_Formatted"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Alaska","AK","RaceEthnicity","AI/AN, NH","45.9","38.8","53.1","45.9 (CI 38.8 - 53.1)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Alaska","AK","RaceEthnicity","Asian, NH","33.8","26.6","41.9","33.8 (CI 26.6 - 41.9)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Alaska","AK","RaceEthnicity","Black, NH","34.2","19.2","53.2","34.2 (CI 19.2 - 53.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Alaska","AK","RaceEthnicity","Hispanic","44.8","36.0","54.0","44.8 (CI 36.0 - 54.0)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Alaska","AK","RaceEthnicity","Multiple race, NH","51.7","41.9","61.4","51.7 (CI 41.9 - 61.4)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Alaska","AK","RaceEthnicity","NHOPI, NH","40.2","22.0","61.5","40.2 (CI 22.0 - 61.5)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Alaska","AK","RaceEthnicity","White, NH","42.2","36.4","48.2","42.2 (CI 36.4 - 48.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Alaska","AK","Sex","Female","56.0","50.6","61.3","56.0 (CI 50.6 - 61.3)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Alaska","AK","Sex","Male","31.8","27.2","36.7","31.8 (CI 27.2 - 36.7)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Alaska","AK","Total","Total","43.2","39.7","46.8","43.2 (CI 39.7 - 46.8)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","American Samoa","AS","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","American Samoa","AS","RaceEthnicity","Asian, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","American Samoa","AS","RaceEthnicity","Black, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","American Samoa","AS","RaceEthnicity","Hispanic","55.3","47.1","63.3","55.3 (CI 47.1 - 63.3)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","American Samoa","AS","RaceEthnicity","Multiple race, NH","49.1","41.5","56.7","49.1 (CI 41.5 - 56.7)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","American Samoa","AS","RaceEthnicity","NHOPI, NH","44.0","41.4","46.6","44.0 (CI 41.4 - 46.6)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","American Samoa","AS","RaceEthnicity","White, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","American Samoa","AS","Sex","Female","55.9","52.6","59.2","55.9 (CI 52.6 - 59.2)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","American Samoa","AS","Sex","Male","35.2","32.1","38.4","35.2 (CI 32.1 - 38.4)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","American Samoa","AS","Total","Total","45.7","43.4","48.0","45.7 (CI 43.4 - 48.0)"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Arkansas","AR","RaceEthnicity","AI/AN, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Arkansas","AR","RaceEthnicity","Asian, NH","Suppressed","Suppressed","Suppressed","Suppressed"
"2023","During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","Arkansas","AR","RaceEthnicity","Black, NH","42.8","37.0","48.7","42.8 (CI 37.0 - 48.7)"
