STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,COUNTYNAME,CITY,CITYNAME,DAY,DAYNAME,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS,DRUNK_DR
43,Puerto Rico,430001,1,1,0,1,1,1,1,89,LUQUILLO (89),610,LUQUILLO,1,1,1,January,2020,4,Wednesday,19,7:00pm-7:59pm,50,50,1,This section IS ON the NHS,2,U.S. Highway,US-3,,2,Urban,1,Interstate,1,State Highway Agency,365,365,18.38175,18.38175,-65.72565556,-65.72565556,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430002,1,1,0,1,1,1,1,127,SAN JUAN (127),930,SAN JUAN,6,6,1,January,2020,2,Monday,19,7:00pm-7:59pm,5,5,1,This section IS ON the NHS,4,County Road,CR-26,,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,4,4,18.45717778,18.45717778,-66.08239167,-66.08239167,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430003,1,1,0,1,1,1,1,127,SAN JUAN (127),930,SAN JUAN,15,15,1,January,2020,4,Wednesday,5,5:00am-5:59am,20,20,1,This section IS ON the NHS,4,County Road,CR-17,,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,81,81,18.40859444,18.40859444,-66.03287222,-66.03287222,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,2,Rain,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430004,2,2,0,0,0,2,2,113,PONCE (113),760,PONCE,15,15,1,January,2020,4,Wednesday,10,10:00am-10:59am,53,53,1,This section IS ON the NHS,2,U.S. Highway,US-12,,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,22,22,17.98388333,17.98388333,-66.61031667,-66.61031667,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430005,1,1,0,0,0,2,2,31,CAROLINA (31),200,CAROLINA,15,15,1,January,2020,4,Wednesday,13,1:00pm-1:59pm,45,45,0,This section IS NOT on the NHS,4,County Road,CR-SEVILLA ST URB VISTAMAR,,2,Urban,6,Minor Collector,2,County Highway Agency,0,None,18.42745278,18.42745278,-65.97876667,-65.97876667,0,No Special Jurisdiction,3,Immersion or Partial Immersion,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,5,Outside Trafficway,1,Daylight,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),2,0
43,Puerto Rico,430006,1,1,0,1,1,1,1,25,CAGUAS (25),170,CAGUAS,25,25,1,January,2020,7,Saturday,2,2:00am-2:59am,12,12,0,This section IS NOT on the NHS,4,County Road,CR-JOSE MERCADO AVE,,2,Urban,6,Minor Collector,2,County Highway Agency,0,None,18.21746667,18.21746667,-66.02378056,-66.02378056,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430007,2,2,0,0,0,2,2,47,COROZAL (47),320,"COROZAL, COROZAL",31,31,1,January,2020,6,Friday,21,9:00pm-9:59pm,10,10,0,This section IS NOT on the NHS,2,U.S. Highway,US-159,,2,Urban,4,Minor Arterial,2,County Highway Agency,151,151,18.34369722,18.34369722,-66.31098056,-66.31098056,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430008,1,1,0,1,1,1,1,13,ARECIBO (13),90,ARECIBO,10,10,1,January,2020,6,Friday,19,7:00pm-7:59pm,35,35,0,This section IS NOT on the NHS,4,County Road,CR-CONSTITUCION AVE,,2,Urban,4,Minor Arterial,2,County Highway Agency,0,None,18.463625,18.463625,-66.72378611,-66.72378611,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,2,Rain,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430009,1,1,0,1,1,2,2,115,QUEBRADILLAS (115),790,QUEBRADILLAS,13,13,1,January,2020,2,Monday,18,6:00pm-6:59pm,30,30,1,This section IS ON the NHS,1,Interstate,I-2,,2,Urban,1,Interstate,1,State Highway Agency,975,975,18.45811111,18.45811111,-66.90841111,-66.90841111,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,2,Rain,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
43,Puerto Rico,430010,2,2,0,0,0,3,3,87,LOÍZA (87),600,"LOIZA, LOIZA",18,18,1,January,2020,7,Saturday,19,7:00pm-7:59pm,0,0,1,This section IS ON the NHS,4,County Road,CR-111,,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,330,330,88.8888,88.8888,888.8888,888.8888,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No,0,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
