geography_id,geography_desc_full,geography_type_total_units,data_type_total_units,percent_coverage
1,Alabama,2748899,2748899,0.874269298
2,Alaska,389420,389420,0.795809152
4,Arizona,3580267,3580267,0.955059497
5,Arkansas,1651296,1651296,0.896420751
6,California,16330909,16330909,0.960786445
8,Colorado,2909942,2909942,0.958536287
9,Connecticut,1694692,1694692,0.976367977
10,Delaware,533777,533777,0.984759553
11,District of Columbia,386183,386183,0.999451037
12,Florida,11555553,11555553,0.950563508
13,Georgia,5131369,5131369,0.944918988
15,Hawaii,609845,609845,0.959707795
16,Idaho,928604,928604,0.913418422
17,Illinois,6173970,6173970,0.96709443
18,Indiana,3370429,3370429,0.951954187
19,Iowa,1686040,1686040,0.955877085
20,Kansas,1506440,1506440,0.948946523
21,Kentucky,2338387,2338387,0.895080241
22,Louisiana,2425967,2425967,0.870185374
23,Maine,836426,836426,0.904527119
24,Maryland,2784162,2784162,0.984489408
25,Massachusetts,3395920,3395920,0.990761266
26,Michigan,5247904,5247904,0.93117557
27,Minnesota,2897751,2897751,0.958161347
28,Mississippi,1655265,1655265,0.859756595
29,Missouri,3203480,3203480,0.93840667
30,Montana,631721,631721,0.818022513
31,Nebraska,1021093,1021093,0.950336551
32,Nevada,1457075,1457075,0.990010123
33,New Hampshire,742984,742984,0.976233674
34,New Jersey,4287690,4287690,0.986547535
35,New Mexico,1110299,1110299,0.916813399
36,New York,9323950,9323950,0.972141206
37,North Carolina,5628179,5628179,0.916969592
38,North Dakota,477239,477239,0.99587628
39,Ohio,5943720,5943720,0.946923476
40,Oklahoma,2092549,2092549,0.922573856
41,Oregon,2087622,2087622,0.93539683
42,Pennsylvania,6544587,6544587,0.960246384
44,Rhode Island,542834,542834,0.967680727
45,South Carolina,2860744,2860744,0.949708887
46,South Dakota,512441,512441,0.94820672
47,Tennessee,3570135,3570135,0.955128868
48,Texas,14054862,14054862,0.955005819
49,Utah,1421708,1421708,0.969146266
50,Vermont,383015,383015,0.888341188
51,Virginia,4190383,4190383,0.919142475
53,Washington,3699302,3699302,0.932243164
54,West Virginia,1022709,1022709,0.783662801
55,Wisconsin,3212377,3212377,0.883917423
56,Wyoming,323315,323315,0.910332029
60,American Samoa,8843,8843,0.198688228
66,Guam,44151,44151,0.983737628
69,Commonwealth of the Northern Mariana Islands,11013,11013,0.095886679
72,Puerto Rico,1405223,1405223,0.991900218
78,United States Virgin Islands,36109,36109,0.996842892
