               State  pm25_avg  pm25_norm
             Alabama  8.831841  36.396805
              Alaska  7.725000  51.817599
             Arizona  6.460000  69.441909
            Arkansas  8.794196  36.921276
          California 11.444253   0.000000
            Colorado  5.638172  80.891830
         Connecticut  7.161905  59.662789
            Delaware  7.711111  52.011103
District of Columbia  8.733333  37.769237
             Florida  7.886070  49.573535
             Georgia  8.877474  35.761036
              Hawaii  4.266667 100.000000
               Idaho  7.053906  61.167452
            Illinois  9.036928  33.539476
             Indiana  8.861232  35.987321
                Iowa  7.752525  51.434111
              Kansas  7.284740  57.951413
            Kentucky  8.272981  44.182992
           Louisiana  8.748691  37.555269
               Maine  5.637500  80.901193
            Maryland  7.059722  61.086423
       Massachusetts  6.757143  65.302037
            Michigan  7.087149  60.704311
           Minnesota  6.462069  69.413084
         Mississippi  8.969388  34.480465
            Missouri  7.900585  49.371306
             Montana  5.775449  78.979250
            Nebraska  6.127240  74.078006
              Nevada  6.518000  68.633838
       New Hampshire  5.243333  86.392826
          New Jersey  8.165079  45.686299
          New Mexico  5.419588  83.937205
            New York  7.038710  61.379175
      North Carolina  7.260201  58.293305
        North Dakota  5.513836  82.624105
                Ohio  8.642424  39.035806
            Oklahoma  8.747186  37.576236
              Oregon 10.252778  16.599941
        Pennsylvania  8.264500  44.301145
        Rhode Island  6.133333  73.993114
      South Carolina  7.996350  48.037076
        South Dakota  5.264103  86.103463
           Tennessee  7.603521  53.510075
               Texas  8.195750  45.258983
                Utah  6.106897  74.361438
             Vermont  6.121429  74.158974
            Virginia  7.122532  60.211345
          Washington  8.820513  36.554630
       West Virginia  7.244848  58.507195
           Wisconsin  7.425000  55.997278
             Wyoming  4.607353  95.253470
