State  water_violations  water_norm
   01                 2  100.000000
   02                 8   99.962668
   05                46   99.726232
   06                 4   99.987556
   07                29   99.832006
   09               865   94.630413
   10                80   99.514684
   AK               208   98.718268
   AL                87   99.471130
   AR              1002   93.777999
   AS                72   99.564460
   AZ              1471   90.859881
   CA                31   99.819562
   CO               952   94.089099
   CT              1784   88.912394
   DC                 4   99.987556
   DE                 8   99.962668
   FL               105   99.359134
   GA               548   96.602787
   IA              1202   92.533599
   ID               589   96.347685
   IL              1431   91.108761
   IN                19   99.894226
   KS               783   95.140617
   KY               134   99.178696
   LA              1438   91.065207
   MA                61   99.632902
   MD                 4   99.987556
   ME              2174   86.485814
   MI               136   99.166252
   MN                93   99.433798
   MO              1933   87.985316
   MP                42   99.751120
   MS               281   98.264062
   MT                 4   99.987556
   NC              1988   87.643106
   ND                10   99.950224
   NE                79   99.520906
   NH               985   93.883773
   NJ               188   98.842708
   NM              4116   74.402688
   NN               286   98.232952
   NV                25   99.856894
   NY               564   96.503235
   OH              1472   90.853659
   OK               789   95.103285
   OR               681   95.775261
   PA             16074    0.000000
   PR                38   99.776008
   RI               141   99.135142
   SC                 7   99.968890
   SD                65   99.608014
   TN               146   99.104032
   TX              8425   47.592086
   UT                11   99.944002
   VA               666   95.868591
   VI                10   99.950224
   VT               123   99.247138
   WI               611   96.210801
   WV              8359   48.002738
