State  education_index_raw  education_index_norm State_abbr
   AK            53.782881              7.241790         AK
   AL            48.413502              3.605733         AL
   AR            49.268042              4.184414         AR
   AZ            50.970542              5.337319         AZ
   CA            51.125903              5.442527         CA
   CO            55.717238              8.551705         CO
   CT            55.646999              8.504140         CT
   DC            58.427785             10.387243         DC
   DE            54.401870              7.660959         DE
   FL            50.951326              5.324306         FL
   GA            48.667707              3.777876         GA
   HI            53.584801              7.107653         HI
   IA            54.881639              7.985851         IA
   ID            52.560754              6.414185         ID
   IL            53.489664              7.043228         IL
   IN            51.918706              5.979401         IN
   KS            53.936510              7.345825         KS
   KY            48.211441              3.468901         KY
   LA            47.311233              2.859295         LA
   MA            56.721921              9.232060         MA
   MD            54.628555              7.814467         MD
   ME            56.280874              8.933390         ME
   MI            54.505207              7.730937         MI
   MN            55.720777              8.554101         MN
   MO            51.159185              5.465065         MO
   MS            47.679094              3.108404         MS
   MT            55.592928              8.467524         MT
   NC            51.353723              5.596803         NC
   ND            54.748997              7.896027         ND
   NE            55.130030              8.154057         NE
   NH            56.656559              9.187798         NH
   NJ            55.127561              8.152385         NJ
   NM            50.757003              5.192714         NM
   NV            51.819727              5.912373         NV
   NY            53.577581              7.102764         NY
   OH            52.817098              6.587777         OH
   OK            50.388019              4.942844         OK
   OR            53.570055              7.097667         OR
   PA            53.407147              6.987349         PA
   PR            43.088902              0.000000         PR
   RI            56.140472              8.838312         RI
   SC            49.879293              4.598343         SC
   SD            54.089887              7.449689         SD
   TN            49.288399              4.198199         TN
   TX            47.620954              3.069033         TX
   US           190.759300            100.000000         US
   UT            56.007163              8.748037         UT
   VA            52.271006              6.217972         VA
   VT            56.953993              9.389216         VT
   WA            54.011636              7.396699         WA
   WI            55.405655              8.340706         WI
   WV            49.373735              4.255987         WV
   WY            56.380229              9.000671         WY
