State  median_income  income_norm State_abbr
   AK   77683.161290    57.349413         AK
   AL   52715.235294     9.410977         AL
   AR   49539.644737     3.313841         AR
   AZ   61300.312500    25.894331         AZ
   CA   81596.542373    64.863108         CA
   CO   73240.323077    48.819161         CO
   CT   89088.600000    79.247864         CT
   DC   99897.000000   100.000000         DC
   DE   80103.500000    61.996465         DE
   FL   63205.779412    29.552829         FL
   GA   58479.987500    20.479305         GA
   HI   86572.600000    74.417142         HI
   IA   67925.650000    38.614984         IA
   ID   65190.488889    33.363473         ID
   IL   66428.029126    35.739551         IL
   IN   66285.075269    35.465080         IN
   KS   61994.037736    27.226284         KS
   KY   53930.140496    11.743596         KY
   LA   52053.476923     8.140400         LA
   MA   89890.466667    80.787449         MA
   MD   87860.600000    76.890103         MD
   ME   64182.000000    31.427174         ME
   MI   61914.750000    27.074052         MI
   MN   72854.852273    48.079056         MN
   MO   56379.181034    16.445755         MO
   MS   47813.686747     0.000000         MS
   MT   59874.350877    23.156484         MT
   NC   60117.752475    23.623815         NC
   ND   69451.666667    41.544937         ND
   NE   63638.127660    30.382938         NE
   NH   81480.818182    64.640917         NH
   NJ   96558.227273    93.589554         NJ
   NM   53559.735294    11.032417         NM
   NV   73048.555556    48.450967         NV
   NY   72076.444444    46.584513         NY
   OH   65704.134831    34.349674         OH
   OK   54447.974359    12.737837         OK
   OR   66547.459459    35.968857         OR
   PA   65786.882353    34.508549         PA
   RI   88710.166667    78.521272         RI
   SC   55979.021277    15.677448         SC
   SD   63294.567164    29.723302         SD
   TN   58032.489583    19.620109         TN
   TX   61045.090196    25.404304         TX
   US   74755.000000    51.727341         US
   UT   78374.066667    58.675952         UT
   VA   70592.455224    43.735252         VA
   VT   69913.000000    42.430698         VT
   WA   74388.450000    51.023565         WA
   WI   68578.657534    39.868759         WI
   WV   51587.857143     7.246410         WV
   WY   71622.708333    45.713339         WY
