                   State  hazard_score  hazard_norm
                 Alabama     26.817755    57.571523
                  Alaska     11.556614    99.983843
          American Samoa           NaN          NaN
                 Arizona     39.685839    21.809759
                Arkansas     28.178846    53.788908
              California     47.533602     0.000000
                Colorado     17.146117    84.450023
             Connecticut     34.044501    37.487634
                Delaware     38.646411    24.698439
    District of Columbia     44.376195     8.774765
                 Florida     41.341160    17.209449
                 Georgia     21.192488    73.204733
                    Guam           NaN          NaN
                  Hawaii     35.721638    32.826693
                   Idaho     16.920221    85.077814
                Illinois     24.478879    64.071505
                 Indiana     21.893565    71.256365
                    Iowa     23.523811    66.725739
                  Kansas     19.544810    77.783804
                Kentucky     19.993017    76.538188
               Louisiana     31.916345    43.402002
                   Maine     25.702966    60.669640
                Maryland     31.495278    44.572192
           Massachusetts     33.585711    38.762658
                Michigan     17.527837    83.389184
               Minnesota     19.659786    77.464272
             Mississippi     26.982335    57.114138
                Missouri     25.016667    62.576936
                 Montana     11.550800   100.000000
                Nebraska     18.732172    80.042210
                  Nevada     31.956427    43.290611
           New Hampshire     25.794362    60.415638
              New Jersey     41.846632    15.804688
              New Mexico     25.874803    60.192086
                New York     26.733029    57.806984
          North Carolina     31.130381    45.586278
            North Dakota     15.754813    88.316606
Northern Mariana Islands           NaN          NaN
                    Ohio     21.361644    72.734629
                Oklahoma     26.817295    57.572801
                  Oregon     33.602331    38.716471
            Pennsylvania     22.991349    68.205508
             Puerto Rico           NaN          NaN
            Rhode Island     28.436563    53.072684
          South Carolina     32.700640    41.222363
            South Dakota     17.573418    83.262511
               Tennessee     23.145173    67.778013
                   Texas     26.582726    58.224693
                    Utah     18.868317    79.663850
                 Vermont     13.461221    94.690737
          Virgin Islands           NaN          NaN
                Virginia     17.120151    84.522185
              Washington     32.494222    41.796022
           West Virginia     13.240447    95.304294
               Wisconsin     20.139553    76.130951
                 Wyoming     13.595001    94.318949
