State  parks_access  parks_norm
   AK      0.423230   36.213570
   AL      0.104525    0.000000
   AR      0.159188    6.211142
   AZ      0.322937   24.817576
   CA      0.613700   57.856262
   CO      0.451374   39.411545
   CT      0.622793   58.889449
   DC      0.984594  100.000000
   DE      0.408282   34.515165
   FL      0.271247   18.944224
   GA      0.191124    9.839985
   HI      0.635617   60.346621
   IA      0.277242   19.625423
   ID      0.231985   14.482909
   IL      0.335130   26.202992
   IN      0.264978   18.231800
   KS      0.147732    4.909426
   KY      0.200372   10.890812
   LA      0.138646    3.877107
   MA      0.591836   55.371919
   MD      0.389719   32.405882
   ME      0.138722    3.885743
   MI      0.282900   20.268259
   MN      0.243175   15.754462
   MO      0.199692   10.813591
   MS      0.118006    1.531735
   MT      0.174667    7.970013
   NC      0.369767   30.138758
   ND      0.105730    0.136918
   NE      0.234278   14.743503
   NH      0.256989   17.324043
   NJ      0.592393   55.435129
   NM      0.334340   26.113281
   NV      0.330561   25.683844
   NY      0.436036   37.668724
   OH      0.299443   22.147998
   OK      0.142978    4.369316
   OR      0.441740   38.316896
   PA      0.256760   17.298078
   RI      0.462453   40.670395
   SC      0.163826    6.738159
   SD      0.200101   10.860039
   TN      0.161544    6.478913
   TX      0.240786   15.482986
   UT      0.367235   29.851097
   VA      0.314422   23.849990
   VT      0.196702   10.473829
   WA      0.357726   28.770611
   WI      0.335853   26.285221
   WV      0.190777    9.800583
   WY      0.332609   25.916604
