State_abbr  poverty_rate_2023  poverty_norm
        AK          13.832258     59.960419
        AL          19.007353     20.766862
        AR          18.657895     23.413482
        AZ          16.681250     38.383592
        CA          13.230508     64.517766
        CO          12.447692     70.446421
        CT           9.870000     89.968561
        DC          15.200000     49.601832
        DE          10.875000     82.357199
        FL          14.541176     54.591428
        GA          18.139375     27.340489
        HI          10.920000     82.016391
        IA          10.804000     82.894917
        ID          11.471111     77.842554
        IL          12.792233     67.837043
        IN          11.698925     76.117209
        KS          11.839623     75.051634
        KY          18.567769     24.096052
        LA          20.927692      6.223181
        MA          10.700000     83.682560
        MD          10.764000     83.197857
        ME          11.847059     74.995316
        MI          13.689286     61.043219
        MN          10.193182     87.520945
        MO          14.299138     56.424506
        MS          21.749398      0.000000
        MT          13.868421     59.686538
        NC          15.364356     48.357079
        ND          11.633333     76.613965
        NE          11.111702     80.564536
        NH           8.545455    100.000000
        NJ           9.527273     92.564205
        NM          19.432353     17.548127
        NV          11.894444     74.636441
        NY          13.420635     63.077845
        OH          12.807865     67.718653
        OK          17.544872     31.842956
        OR          13.829730     59.979567
        PA          12.547059     69.693869
        RI          10.233333     87.216858
        SC          17.782979     30.039654
        SD          14.225373     56.983164
        TN          15.717708     45.680970
        TX          15.639216     46.275434
        UT           9.763333     90.776401
        VA          13.388806     63.318901
        VT          10.606667     84.389420
        WA          12.550000     69.671594
        WI          10.784932     83.039332
        WV          17.833929     29.653786
        WY          10.637500     84.155904
