State,real_gdp_total_norm,real_pce_total_norm,disposable_income_total_norm,real_pc_income_norm,pc_pce_norm,rpp_index_norm,employment_total_norm,arts_ratio_norm
AL,0.059997437467817584,0.09171753160258185,0.06346331610227228,0.17393765020101146,0.1241510315297781,0.8822835998625396,0.09322016555472945,0.08655128737686894
AK,0.006364432810586335,0.0054205288635367525,0.005398632633722791,0.3996922098994664,0.3621486959906578,0.36250369624461526,0.0022702022332715573,0.2567366636982087
AZ,0.10374996293763779,0.14219893893326904,0.10536622189459395,0.1725799166959402,0.21917789022966136,0.5360393839858704,0.142362300613162,0.17097806393094953
AR,0.030403274837958467,0.050145845513576176,0.035926140345171595,0.2351778435734877,0.11966212534059946,0.9119934146906742,0.05115380667678512,0.10179702467758167
CA,0.8901170291225735,0.8920271874960419,0.785341562214304,0.3886630646303452,0.34933592837680033,0.06784706737954221,0.9394832524486277,0.7389953488032245
CO,0.10826070967911947,0.12857345691154173,0.10450237910391255,0.4376529889652788,0.3402024133904243,0.39444324566240685,0.13979352015731572,0.3273724327388835
CT,0.07394378069439186,0.08063164022554539,0.07292213736872052,0.6881673664430727,0.39150019462826,0.28902235328905823,0.07636235818705758,0.2693283395417201
DE,0.013412709335168551,0.011231835133613654,0.007609696175727358,0.31224803867449524,0.3030984818995718,0.5431721371086975,0.008534222221339862,0.011877154138478209
DC,0.03250952850049087,0.009641048186922394,0.008363822638206368,0.8557178144672499,0.7168267808485792,0.07133152716839673,0.019742553362563666,0.9567691829176044
FL,0.3330631081261859,0.49803901831119557,0.3714961134909563,0.2657923643521074,0.29877617750097313,0.43802696460396223,0.5034587617046241,0.20707861226805085
GA,0.17956586698583096,0.21744906334669406,0.1594968121564177,0.21958202996492754,0.1881198910081744,0.6541673659561885,0.24148888476386263,0.29088710899449505
HI,0.01671713916610891,0.01775448118823368,0.015924972196533608,0.16030455607411495,0.28577345270533283,0.08213255332582081,0.019911550613906478,0.2037447581866019
ID,0.015537904116775738,0.023533606074041306,0.01882621978761793,0.20278182031080108,0.12624834565978982,0.753698242585533,0.027393897762658565,0.15371655993365027
IL,0.2503467311851525,0.28987084733258306,0.22746529396345813,0.39378174782400205,0.2825706500583885,0.4802041126215765,0.29693914538500554,0.2628917036283427
IN,0.10439179907866707,0.1364930761204607,0.10014192901714573,0.276459075626035,0.17897859089139742,0.7700935849177235,0.14226499278837323,0.11843287094371752
IA,0.04938600147174602,0.058744278516550036,0.04371560702173382,0.3588793540868615,0.1741891786687427,0.8426718454050685,0.06659542724297475,0.1250974251144757
KS,0.0422950913981517,0.05263888409009614,0.040574319131258765,0.37651316192993317,0.1827699493966524,0.7811343674826375,0.061056345983377024,0.17641212069912843
KY,0.05502604258829552,0.08426785249898607,0.05645118945466847,0.1814846411624652,0.150008563643441,0.8480663645735932,0.08617689281626681,0.11359813953326985
LA,0.06414578377498793,0.08891715264456405,0.06422418669475227,0.2485405061808936,0.16832386142467887,0.792858455808898,0.09229746645079764,0.11674064500159459
ME,0.011050342917311587,0.02094892038045615,0.013467304902499547,0.24836765304472438,0.3085574153367069,0.5724743660440992,0.017901034444079367,0.11832787328975036
MD,0.11351976956020174,0.12481365191996902,0.11052689201859142,0.40062338647173296,0.28151031529778126,0.2624653352194169,0.1340377307546846,0.1785101010701087
MA,0.16398160705272857,0.17182388917318903,0.14707462155736659,0.6180503281421633,0.43226469443363175,0.20840026533042422,0.17585326597849318,0.3244026015930912
MI,0.14966153475218996,0.2222248521117877,0.1524486716461348,0.2572389220655392,0.22715453483845854,0.6958090579970749,0.20992444121060036,0.1858582762827144
MN,0.10307586307516015,0.12510518273545818,0.09628354309975087,0.4354672331788807,0.2851957960295835,0.5531819671214045,0.1334112473583012,0.21815075210746615
MS,0.024928958589302823,0.0461787326755647,0.030393038584623576,0.09794918117796625,0.08703308680420398,0.9464384185667362,0.04862995371257325,0.0659871475203161
MO,0.08940630202757915,0.13123576969023254,0.09000844110737989,0.2861444271591308,0.21655897236278707,0.7731344953527215,0.13509469218315248,0.1877415078947704
MT,0.006141939549218465,0.013257170522371941,0.008526237688575047,0.30752524492174216,0.252474892954457,0.7470489982178106,0.012117760454873481,0.26203739304291496
NE,0.03034768816511672,0.03327467470457649,0.02612472352889017,0.4526047852439181,0.22134838458544182,0.7955557153931605,0.03735868040631288,0.16565346457983793
NV,0.04415479599791834,0.055951444621009795,0.043169158763421894,0.27756031738066167,0.23141767224601012,0.575163633748112,0.059253929666537954,0.29623084845174563
NH,0.016543087290038856,0.022574053080300475,0.019107979184856013,0.4522646548791979,0.39590813546126896,0.3079631094807674,0.01977975404034739,0.22086765286336596
NJ,0.1795505473671951,0.20908291911816962,0.1852754794690754,0.4622176499779751,0.36513195796029585,0.13280906598895506,0.20721547030427803,0.27771707297911363
NM,0.021147834258765118,0.03024463081595165,0.0214724760275886,0.13163602705430374,0.1377656675749319,0.7486114108066204,0.028465308253614995,0.19935407948287542
NY,0.5088150007800272,0.460843807019671,0.3956176149865479,0.45818069286228064,0.3516356558972363,0.1471145316358578,0.48265778969844186,0.6209526543828
NC,0.16806338920469804,0.2187731432171052,0.15813286832539603,0.25543790390480814,0.19278629817049436,0.7275248347678758,0.23114840267182585,0.18426347387449926
ND,0.008059606477258122,0.00730154074951913,0.005354151256972408,0.5395777922751376,0.29052549630206304,0.8168540762585212,0.007295950669098006,0.16666591377457507
OH,0.19558831320433562,0.25808715073139493,0.18265169323874736,0.2966578009735535,0.20428649279875438,0.7599359051203974,0.2654684758105263,0.17284924965424975
OK,0.05038423478413308,0.06904127557261537,0.0549713619431767,0.28913032568876396,0.12318567536006228,0.8437547451788983,0.07698965555920631,0.10988871628630165
OR,0.06298661354806978,0.07821874375495692,0.06174096050309472,0.2268613773606999,0.24932658622031917,0.3677263899877723,0.08571464987626576,0.2562981757213895
PA,0.2236072208565935,0.30314078037650166,0.2253789533944134,0.3839625745080656,0.28317633320358115,0.5665324030784722,0.2918897876813702,0.1949146512144332
RI,0.008554380997174954,0.011398545949173545,0.009941400077218726,0.2870114807937862,0.26343791358505253,0.3991664468899597,0.009968046487942736,0.22086594588185257
SC,0.0637808641687861,0.09875562392059282,0.06869090286701618,0.18893126578678843,0.17815959517321917,0.742993118991105,0.09937645088698542,0.13655308033385066
SD,0.006636933924136649,0.008373610696601218,0.007448948916394469,0.5113358201881311,0.2225426235889451,0.8689051923245982,0.008826193343067954,0.19636401007946158
TN,0.10688049967667572,0.1379993740862834,0.1056367028549525,0.2844855946426679,0.17321448034254575,0.777294269022673,0.15227042657293371,0.23413229216125467
TX,0.5554712459124909,0.6244666243889249,0.5074497758627831,0.29493484551947946,0.21393694044375242,0.5546644609077176,0.7075658412092106,0.16971086930224732
UT,0.049759187015290335,0.05461584160229558,0.04276319757792267,0.2149372989188315,0.17437602179836512,0.6169052242921191,0.06971759210086152,0.3016977769666045
VT,0.0004729997141579628,0.0028721598288479954,0.0019256871229576162,0.3062706657076106,0.3248470221876216,0.49274736867342767,0.0013455853230242973,0.22217545241894499
VA,0.15758936563801293,0.18206515675335838,0.15255489256229132,0.3887327634755747,0.26432697547683925,0.4179673451772998,0.1975033933855535,0.17011314521713777
WA,0.16975488640718056,0.1616193070410275,0.14882407528631109,0.4065115449167238,0.3162428960685092,0.21102959393256437,0.16530216666451591,0.8296053311181771
WV,0.01370056060277157,0.02672107454748442,0.01595924530231909,0.1363086376384916,0.16194316854807317,0.8627474485922302,0.01941984572181286,0.08651273041136198
WI,0.09162871241582568,0.1241585010862804,0.090713937562907,0.3512013292963762,0.2234410276372129,0.7212352250113885,0.1316615449061496,0.19951456357625272
WY,0.001912237730922944,0.0012271971571075162,0.0025660841350543828,0.6118610706857809,0.2758318411833398,0.7038129260671158,0.000727642716256982,0.38615037387618834
