State  real_gdp_total_norm  real_pce_total_norm  disposable_income_total_norm  real_pc_income_norm  pc_pce_norm  rpp_index_norm  employment_total_norm  arts_ratio_norm
   AL             0.067032                  NaN                      0.079297                  NaN     0.063276             NaN               0.100419         0.082983
   AK             0.005977                  NaN                      0.003808                  NaN     0.450287             NaN               0.001166         0.222085
   AZ             0.125536                  NaN                      0.142749                  NaN     0.246433             NaN               0.159622         0.163703
   AR             0.033937                  NaN                      0.044041                  NaN     0.046457             NaN               0.054120         0.085796
   CA             1.000000                  NaN                      1.000000                  NaN     0.474581             NaN               1.000000         0.742443
   CO             0.126108                  NaN                      0.138566                  NaN     0.452136             NaN               0.152067         0.308738
   CT             0.076367                  NaN                      0.089203                  NaN     0.456095             NaN               0.078993         0.266476
   DE             0.014967                  NaN                      0.007577                  NaN     0.325202             NaN               0.009128         0.000000
   DC             0.033233                  NaN                      0.008316                  NaN     1.000000             NaN               0.018696         1.000000
   FL             0.402343                  NaN                      0.509247                  NaN     0.375176             NaN               0.577293         0.198223
   GA             0.202124                  NaN                      0.203720                  NaN     0.178013             NaN               0.267938         0.235136
   HI             0.016963                  NaN                      0.017367                  NaN     0.336856             NaN               0.019227         0.166617
   ID             0.019314                  NaN                      0.024599                  NaN     0.083410             NaN               0.031257         0.125088
   IL             0.263788                  NaN                      0.273924                  NaN     0.334867             NaN               0.309144         0.269180
   IN             0.114845                  NaN                      0.125241                  NaN     0.158220             NaN               0.149962         0.099136
   IA             0.051992                  NaN                      0.052134                  NaN     0.111040             NaN               0.067118         0.105546
   KS             0.044397                  NaN                      0.046586                  NaN     0.143371             NaN               0.062474         0.155379
   KY             0.059491                  NaN                      0.070046                  NaN     0.099546             NaN               0.090739         0.088372
   LA             0.067468                  NaN                      0.076311                  NaN     0.130752             NaN               0.095686         0.093249
   ME             0.012646                  NaN                      0.015957                  NaN     0.383776             NaN               0.018226         0.127385
   MD             0.121297                  NaN                      0.135480                  NaN     0.288611             NaN               0.143590         0.170048
   MA             0.181129                  NaN                      0.183206                  NaN     0.562613             NaN               0.183507         0.327526
   MI             0.160763                  NaN                      0.187406                  NaN     0.205964             NaN               0.220210         0.214256
   MN             0.110947                  NaN                      0.119418                  NaN     0.291082             NaN               0.138250         0.199717
   MS             0.026607                  NaN                      0.034816                  NaN     0.000000             NaN               0.050362         0.054314
   MO             0.096898                  NaN                      0.112731                  NaN     0.210143             NaN               0.141746         0.182301
   MT             0.007401                  NaN                      0.009793                  NaN     0.292408             NaN               0.012725         0.269643
   NE             0.034155                  NaN                      0.031554                  NaN     0.212294             NaN               0.038226         0.174574
   NV             0.052271                  NaN                      0.056543                  NaN     0.244263             NaN               0.067862         0.287905
   NH             0.017895                  NaN                      0.022018                  NaN     0.501407             NaN               0.020105         0.191009
   NJ             0.195534                  NaN                      0.229102                  NaN     0.440582             NaN               0.223746         0.267209
   NM             0.025270                  NaN                      0.025046                  NaN     0.083832             NaN               0.029377         0.196234
   NY             0.551489                  NaN                      0.485256                  NaN     0.451694             NaN               0.511861         0.646335
   NC             0.191936                  NaN                      0.210820                  NaN     0.188623             NaN               0.254589         0.212619
   ND             0.008246                  NaN                      0.003717                  NaN     0.284190             NaN               0.006360         0.149022
   OH             0.209629                  NaN                      0.225187                  NaN     0.176044             NaN               0.278032         0.138340
   OK             0.053177                  NaN                      0.069000                  NaN     0.047663             NaN               0.080755         0.107678
   OR             0.069392                  NaN                      0.078866                  NaN     0.285396             NaN               0.089988         0.273646
   PA             0.234468                  NaN                      0.270092                  NaN     0.307700             NaN               0.306364         0.175688
   RI             0.008274                  NaN                      0.009899                  NaN     0.283205             NaN               0.009687         0.218764
   SC             0.073882                  NaN                      0.089900                  NaN     0.150223             NaN               0.109836         0.157962
   SD             0.006519                  NaN                      0.008071                  NaN     0.204015             NaN               0.008671         0.175435
   TN             0.123467                  NaN                      0.139269                  NaN     0.151911             NaN               0.167940         0.256842
   TX             0.668254                  NaN                      0.674674                  NaN     0.203211             NaN               0.796230         0.151409
   UT             0.060511                  NaN                      0.058648                  NaN     0.175421             NaN               0.079105         0.296904
   VT             0.000000                  NaN                      0.000000                  NaN     0.375397             NaN               0.000000         0.204506
   VA             0.176519                  NaN                      0.193662                  NaN     0.286883             NaN               0.211977         0.155562
   WA             0.203586                  NaN                      0.197135                  NaN     0.379576             NaN               0.177389         0.949132
   WV             0.014162                  NaN                      0.016842                  NaN     0.127376             NaN               0.018663         0.061969
   WI             0.097227                  NaN                      0.110619                  NaN     0.216172             NaN               0.136170         0.173904
   WY             0.001034                  NaN                      0.001541                  NaN     0.313387             NaN               0.000095         0.367401
