State,v009_rawvalue_norm,v011_rawvalue_norm,v049_rawvalue_norm,v070_rawvalue_norm,v045_rawvalue_norm,v014_rawvalue_norm,v138_rawvalue_norm,v060_rawvalue_norm,v061_rawvalue_norm,v132_rawvalue_norm,v143_rawvalue_norm,v004_rawvalue_norm,v062_rawvalue_norm,v088_rawvalue_norm,v005_rawvalue_norm,v085_rawvalue_norm,v131_rawvalue_norm,v024_rawvalue_norm,v044_rawvalue_norm,v069_rawvalue_norm,v023_rawvalue_norm,v140_rawvalue_norm,v063_rawvalue_norm,v141_rawvalue_norm,v149_rawvalue_norm,v136_rawvalue_norm,v153_rawvalue_norm,v154_rawvalue_norm,v067_rawvalue_norm,v137_rawvalue_norm,v036_rawvalue_norm,v042_rawvalue_norm,v144_rawvalue_norm,v145_rawvalue_norm,v147_rawvalue_norm,v168_rawvalue_norm,v171_rawvalue_norm,v151_rawvalue_norm,v172_rawvalue_norm,v167_rawvalue_norm,v169_rawvalue_norm,v177_rawvalue_norm,v183_rawvalue_norm,v184_rawvalue_norm,real_gdp_total_norm,real_pce_total_norm,disposable_income_total_norm,real_pc_income_norm,pc_pce_norm,rpp_index_norm,employment_total_norm,arts_ratio_norm,predictor_index
AK,0.3878730114114817,0.4774421384595891,0.4321925479227797,0.6955024253140194,0.4036173506908074,0.4094041244848757,0.7638489340892187,0.802086149604305,0.9774099059595152,0.6184091736110837,0.6729093992189759,0.3992295873919635,0.14309170263184542,0.2795469966162008,0.89936251501863,0.3808553292111409,0.29037547566216576,0.7537582136482016,0.8646528579848569,0.3321712616643771,0.24356079653205132,0.2908334146443533,0.7104919753690769,0.862661242281547,0.030948883599354715,0.40159236032638995,0.7366878696566387,0.7329833633550478,0.3209772417335761,0.9465483340139661,0.5904355732062431,0.7742600728060024,0.6316209214714187,0.7971948088505316,0.563751223853045,0.906038848819802,0.7230523090050025,0.3380908909504796,0.08373763231916063,0.705606200126889,0.8107889090039317,0.5140051767361421,0.36068313697829746,0.4650471469650719,0.006364432810586335,0.0054205288635367525,0.005398632633722791,0.3996922098994664,0.3621486959906578,0.36250369624461526,0.0022702022332715573,0.2567366636982087,0.4991068700420551
AL,0.31706464638685494,0.13040629131604056,0.7817166631641813,0.14999769621233924,0.5803627776326453,0.22467683161819121,0.8023578978137965,0.08930306236758649,0.8807607394242525,0.11082789467845261,0.24968227860226175,0.8353518780266872,1.0,0.9624518453084431,0.1918838088474276,0.5051201600919263,0.7689706692417387,0.254477248017136,0.55380765195792,0.1887089647848269,0.7900135904868635,0.3314547880492638,0.1413622239411173,0.6276106379160886,0.4032226973344096,0.8402985286488321,0.8613535154012418,0.7321822025151637,0.007312332207309258,0.420862877740041,0.32876456991224084,0.28092874641781923,0.3071944310280816,0.2918192474475134,0.22573500294556884,0.3144484008107407,0.6830649536290019,0.7210302554575663,0.19805229964199167,0.47282082771736766,0.1600252733193353,0.31918194857047166,0.4855944724416472,0.49772119278044824,0.059997437467817584,0.09171753160258185,0.06346331610227228,0.17393765020101146,0.1241510315297781,0.8822835998625396,0.09322016555472945,0.08655128737686894,0.4150229178969518
AR,0.18344963957754476,0.19038668838231218,0.6884788330092069,0.09423895324888759,0.6074337221200178,0.0,0.8625555869045162,0.2089753713864623,0.9232964743189299,0.1503169770570079,0.4558849042590117,0.7999878851722212,0.7767919969784253,0.9777826408267482,0.3536850909468458,0.5810945737442219,0.7646952969842725,0.27527079096514445,0.666002202423983,0.09904908701969295,0.6768079988497675,0.3174700499126361,0.07830644680422262,0.5556130184708056,0.23052304584717978,0.8257994556731383,0.7569593195301358,0.829638427549254,0.053618370185206876,0.6386441065151405,0.14295310953045914,0.21960299433451472,0.14514874782978382,0.20790426578736595,0.2859566677111828,0.35170913550471206,0.6510109890302794,0.5188085352367428,0.34495797450873944,0.5440917345594457,0.22515871910368102,0.011013822890219127,,,0.030403274837958467,0.050145845513576176,0.035926140345171595,0.2351778435734877,0.11966212534059946,0.9119934146906742,0.05115380667678512,0.10179702467758167,0.38238094838505593
AZ,0.6031115828028115,0.5665756111325232,0.557950365705484,0.5959395252734406,0.6208000117755303,0.4376666698603522,0.6334813299824492,0.533574397057544,0.9018241185847921,0.662993984239183,0.5875357566700109,0.8158634196196352,0.9315153293853099,0.7714747763625738,0.7760902648533293,0.4119200588637582,0.688612418461128,0.48623605658201074,0.7347063787346437,0.3231561618355407,0.45549875745060114,0.0864660615328466,0.4188429757408562,0.790516377590551,0.3553107184440163,0.5712989499494613,0.7405498017717309,0.5876060954375658,0.21218969221806327,0.38905195181448415,0.5299569656069624,0.5708706763523456,0.5185567870126279,0.5888584304147148,0.6754752003789543,0.40947870210855813,0.646370871907058,0.41995773408991344,0.1655891136080952,0.5301044252680458,0.2710347468648691,0.4958663948913345,0.43244221058985655,0.4503734694992133,0.10374996293763779,0.14219893893326904,0.10536622189459395,0.1725799166959402,0.21917789022966136,0.5360393839858704,0.142362300613162,0.17097806393094953,0.49149149740208287
CA,0.8502558790839508,0.8031975491355515,0.5235473194291062,0.7325293717509873,0.6593099151687828,0.7073101471331574,0.8368477952632474,0.5589940137976119,0.8508202150351235,0.8590536337961909,0.6312937677015281,0.6128594102006736,0.49461203810213333,0.4513506215916214,0.6711449813223876,0.6980893446986444,0.9730772054109864,0.6157913402846031,0.6914532143672912,0.39069276567047434,0.31955932403183557,0.10277236496303051,0.8260292286812035,0.555085190439684,0.6240797857895465,0.01447161742698927,0.42454293065860066,0.0,0.2559779157539381,0.22463271309888946,0.6330027059560558,0.7152924456231088,0.6421742918977461,0.7713362828024595,0.8798385205756153,0.0,0.5346058448812542,0.3097961844096471,0.1922788811832657,0.41883317748487264,0.36619479478440187,0.5295334508049809,0.48007320122299046,0.1686419361275433,0.8901170291225735,0.8920271874960419,0.785341562214304,0.3886630646303452,0.34933592837680033,0.06784706737954221,0.9394832524486277,0.7389953488032245,0.5512891721576944
CO,0.6861279440643696,0.9808102597659204,0.37363268004127176,0.9692705148555246,0.7037347435843834,0.6773547413106767,0.755290719915709,0.9615293664407885,0.9092324500909487,0.7744061726206478,0.9577675351050846,0.5801030595114712,0.48904821573438056,0.5260916047935427,0.8886329570283769,0.6456932618799586,0.5846175290503192,0.8383896009468321,0.8299150674077933,0.6215368373568287,0.6771185419038002,0.20202753753535208,0.7469813850752233,0.43714579029595946,0.6643555386049323,0.6694020466303167,0.7540851312157869,0.5361076822556293,0.24306318366012322,0.39105213358340357,0.7978321776947038,0.6913957903584823,0.8214924851924188,0.756473575195009,0.7737041349740781,0.8131414482741134,0.48709825274945834,0.4046045449380248,0.3587389449003544,0.7833986953404422,0.4459983900006891,0.9605183378885304,,,0.10826070967911947,0.12857345691154173,0.10450237910391255,0.4376529889652788,0.3402024133904243,0.39444324566240685,0.13979352015731572,0.3273724327388835,0.5820409682698948
CT,0.740449602665541,0.6958101505640831,0.5352631658309309,0.6668200727385926,0.8071853539177026,0.9584232682183869,0.5076470723126095,0.7125001753120478,0.8771071789923549,0.8404635265416526,0.5925361466582081,0.5619426852844724,0.43790857132264754,0.48392340117854954,0.613708067282371,0.8190707187390269,0.46333016451089,0.7488242370422266,0.6401777045221942,0.5128243385705611,0.47074695539552236,0.226401432595867,0.7598756701128067,0.3257243741271343,0.8901142222661681,0.5712911130834321,0.7653044245426317,0.3279563716834763,0.1792910372752485,0.4380016330081203,0.8263939706719894,0.735608542939527,0.8421317719075884,0.7978398638398044,0.6467224906767471,0.6889014015580507,0.46358069179388794,0.34850696464141495,0.30856376862137763,0.558101837004672,0.9017123689309852,0.6024893190627642,0.4850247933021655,0.5936822715743583,0.07394378069439186,0.08063164022554539,0.07292213736872052,0.6881673664430727,0.39150019462826,0.28902235328905823,0.07636235818705758,0.2693283395417201,0.5562694228675327
DC,0.6884769958101637,0.9343046563324776,0.09726234477406287,0.927082109634385,0.0,0.4724472234691952,0.22588483074093826,0.737814430793096,0.0,1.0,0.6038602774762453,0.0,0.1753986795745527,0.0,0.27283479925124343,0.9665396208702705,0.0,0.2413440521350578,0.0,1.0,0.23682149680898804,1.0,0.9917122285198325,0.05670877183679368,0.6031651692949747,0.3980945532131859,0.0,0.2541648486993913,1.0,0.0073132157483232945,0.9636511252179151,0.6699594216002973,0.9505803559088198,0.7952358447795751,0.5703393471975552,0.7949421478465901,0.34679651434064884,0.1128882803492921,0.2808372787451592,0.0,0.4215445642104426,0.42229518628956403,0.268072730792963,0.594303106108329,0.03250952850049087,0.009641048186922394,0.008363822638206368,0.8557178144672499,0.7168267808485792,0.07133152716839673,0.019742553362563666,0.9567691829176044,0.43822324170466687
DE,0.523039401668838,0.328718659705263,0.5895550695683601,0.3885808699490827,0.6387708333965748,0.6144083979321767,0.33176331888354044,0.40318758614638045,0.8511268367544641,0.5941802540874597,0.49262683980473115,0.7027194181250341,0.6877219338924583,0.9965036229031838,0.3290904537281003,0.7688418280340971,0.4740213882373607,0.590297871093206,0.8061671069833993,0.2565102194588573,0.4869783626093971,0.2679055368898848,0.541450105491963,0.9874401235951593,0.7660752454710398,0.7801970380784828,0.9336773223146405,0.6362001410026755,0.127358356035109,0.4360261357288658,0.6684322473797838,0.6377167754851366,0.653338551565477,0.6559866804323683,0.5546551818386619,0.6710535232865942,0.7192532287866975,0.23966050080462917,0.30655840935659606,0.9159982400151503,0.5080278745778039,0.6022694648909311,0.873106327757913,0.7426042459864224,0.013412709335168551,0.011231835133613654,0.007609696175727358,0.31224803867449524,0.3030984818995718,0.5431721371086975,0.008534222221339862,0.011877154138478209,0.523481940904816
FL,0.5252369807213246,0.6683190881614234,0.5280919182663381,0.3730752870404282,0.6980059154162884,0.5940176125839673,0.6457803934677172,0.4844967880991618,0.7581399406773534,0.7295856890171546,0.4381870744779442,0.7232854459108912,0.8850437987389692,0.8000405489622832,0.30156192562244544,0.26018014210358603,0.5076383404582812,0.48516670213726076,0.7682039883909934,0.28567711588515005,0.6888580593162654,0.14165659797747962,0.3192833348080613,0.5753719903955424,0.5405137299112562,0.4675278646003358,0.7657739289968594,0.2531146862623912,0.1513658975464657,0.2061284702925262,0.5862799076927551,0.6011106331999113,0.5532935367755306,0.6102791502596937,0.7188584367116558,0.4796901452785624,0.621800129052413,0.2750340001406437,0.18503486746843376,0.6646069543070894,0.279179415753523,0.7075072835592447,0.6553598489101089,0.5951878785558616,0.3330631081261859,0.49803901831119557,0.3714961134909563,0.2657923643521074,0.29877617750097313,0.43802696460396223,0.5034587617046241,0.20707861226805085,0.49975310027968345
