State  predictor_index
   AK         0.499456
   AL         0.415144
   AR         0.382820
   AZ         0.492458
   CA         0.557640
   CO         0.585230
   CT         0.558866
   DC         0.442767
   DE         0.523700
   FL         0.503328
   GA         0.474797
   HI         0.505276
   IA         0.605547
   ID         0.586410
   IL         0.506665
   IN         0.496414
   KS         0.577174
   KY         0.417628
   LA         0.340627
   MA         0.545511
   MD         0.534200
   ME         0.523407
   MI         0.487110
   MN         0.639035
   MO         0.497816
   MS         0.362819
   MT         0.555999
   NC         0.512825
   ND         0.580317
   NE         0.606123
   NH         0.587835
   NJ         0.554072
   NM         0.430432
   NV         0.462171
   NY         0.494238
   OH         0.477006
   OK         0.435314
   OR         0.508294
   PA         0.496244
   RI         0.508872
   SC         0.468790
   SD         0.564484
   TN         0.426104
   TX         0.500752
   UT         0.646170
   VA         0.556703
   VT         0.568073
   WA         0.580280
   WI         0.564899
   WV         0.356634
   WY         0.619386
