State,v009_rawvalue_norm,v011_rawvalue_norm,v049_rawvalue_norm,v070_rawvalue_norm,v045_rawvalue_norm,v014_rawvalue_norm,v138_rawvalue_norm,v060_rawvalue_norm,v061_rawvalue_norm,v132_rawvalue_norm,v004_rawvalue_norm,v062_rawvalue_norm,v088_rawvalue_norm,v005_rawvalue_norm,v085_rawvalue_norm,v131_rawvalue_norm,v024_rawvalue_norm,v044_rawvalue_norm,v069_rawvalue_norm,v023_rawvalue_norm,v140_rawvalue_norm,v063_rawvalue_norm,v136_rawvalue_norm,v067_rawvalue_norm,v137_rawvalue_norm,v036_rawvalue_norm,v042_rawvalue_norm,v143_rawvalue_norm,v141_rawvalue_norm,v144_rawvalue_norm,v145_rawvalue_norm,v149_rawvalue_norm,v153_rawvalue_norm,v154_rawvalue_norm,v147_rawvalue_norm,v168_rawvalue_norm,v171_rawvalue_norm,v151_rawvalue_norm,v170_rawvalue_norm,v172_rawvalue_norm,v167_rawvalue_norm,v169_rawvalue_norm,v177_rawvalue_norm,v183_rawvalue_norm,v184_rawvalue_norm,predictor_index
AK,0.3642136761002385,0.45623822396948627,0.40169577611387175,0.7145305585385197,0.36332721152580755,0.41005001765968796,0.6968360503946971,0.832648130129807,0.976538541058915,0.535393096893234,0.4258391905705297,0.26112086226024933,0.30195322069501807,0.8490559313582987,0.28468742515788636,0.2594179599956096,0.7906642216469404,0.9021128707683,0.38994723113351504,0.20883327217562114,0.3038291456322082,0.7801294240254744,0.4166391540361463,0.32908541280323306,0.9321206482261958,0.6208377266549894,0.774503917651106,0.6581604044894891,0.8695419716315638,0.6715807375812308,0.7983154410742015,0.10397381021717608,0.7327055573342338,0.7385043962018026,0.5500319926597407,0.906038848819802,0.7230523090050025,0.3380908909504796,,0.08373763231916063,0.705606200126889,0.8107889090039317,0.5140051767361421,0.36068313697829746,0.4650471469650719,0.5477673399971907
AL,0.286466343483514,0.11390104478090812,0.8035717815427613,0.18082303347295986,0.5679013928057013,0.24786681012104123,0.7600546278548234,0.06631083945868096,0.8914612000712573,0.12427211746157608,0.8274796588153177,1.0,0.9688850792694421,0.2344385554593917,0.4808019561121127,0.8043420266863628,0.2443126550012316,0.5871227082230149,0.1918502115056611,0.5803441780571821,0.34438015020264257,0.13102021870154165,0.7993286465773036,0.003988544840350505,0.4268767102379099,0.2997276343071347,0.22723564692788426,0.2765404638437229,0.6194737403209365,0.2778976577716242,0.26108647377948013,0.3343569380282474,0.8619767096838563,0.7295078903733965,0.2055556609475971,0.3144484008107407,0.6830649536290019,0.7210302554575663,,0.19805229964199167,0.47282082771736766,0.1600252733193353,0.31918194857047166,0.4855944724416472,0.49772119278044824,0.43562455438854497
AR,0.16564010277239793,0.14798229525457093,0.7294680237863972,0.08507502575684209,0.6100729324210397,0.01910951664477569,0.8133212242944164,0.18689928884264084,0.9301079775857116,0.15574736864984737,0.8011274581665128,0.7582207262339739,0.9878814404509536,0.3313317940663232,0.5076045111769475,0.8140054871571071,0.2681454992942148,0.6970531275495276,0.09151438211711699,0.5953301157784203,0.32973930598930806,0.07068456605499299,0.8051101981612732,0.054684522158541166,0.6365663350343629,0.16257534557621134,0.18824223356116254,0.4731993769476266,0.5637056141288885,0.1387605956865951,0.17685732063781373,0.2188424026916604,0.758834999774138,0.8281513371378892,0.2651234943855346,0.35170913550471206,0.6510109890302794,0.5188085352367428,,0.34495797450873944,0.5440917345594457,0.22515871910368102,0.011013822890219127,,,0.40208631376695436
AZ,0.6028870255968642,0.611690717185714,0.594534047770657,0.6411475391162823,0.6524727275723944,0.3778387793737,0.6083571851373326,0.5456333578022012,0.9107618850207966,0.6680283047692438,0.80640641121744,0.9226829078489766,0.7824119657546007,0.7655096129171967,0.36975117692670073,0.6988606216312228,0.4131326676761315,0.7534269733489988,0.32986759335988614,0.3829197800264076,0.08607835201764025,0.3653687321665269,0.5346664368999353,0.19492539599660813,0.3866481181963431,0.5388269047737885,0.5448559045959778,0.600309769243987,0.8086534185865061,0.5188082957085436,0.5761369500760186,0.29405571090206606,0.7334650688410301,0.5823434136395166,0.6786281208649806,0.40947870210855813,0.646370871907058,0.41995773408991344,,0.1655891136080952,0.5301044252680458,0.2710347468648691,0.4958663948913345,0.43244221058985655,0.4503734694992133,0.5271611852515893
CA,0.8373240472696092,0.8239552460660383,0.5404768983774442,0.7898713622487216,0.683776548065127,0.6643411071336589,0.818793671076822,0.6032778865602647,0.8625260898786787,0.8459950038402714,0.6053494409005625,0.5009954866608058,0.47548220996876406,0.6990582192547418,0.5789137874141278,0.9626143498177681,0.5627088516723563,0.6986440107719559,0.3713343533055448,0.28148514968228566,0.09819039379704542,0.7604964951555865,0.009451219540723114,0.2460582540931651,0.24747930424376133,0.6266932985736581,0.6533697395378494,0.6064869474015835,0.5716294151932371,0.6323784811684772,0.7327422889306925,0.559314694352742,0.4229166415827645,0.0,0.883744262886656,0.0,0.5346058448812542,0.3097961844096471,,0.1922788811832657,0.41883317748487264,0.36619479478440187,0.5295334508049809,0.48007320122299046,0.1686419361275433,0.5170048657829875
CO,0.642806031733066,0.9895328689632293,0.410791522300214,0.9832384626484679,0.7314507468679825,0.6413942875728004,0.7010066793315346,0.9790160180586119,0.9130208142650588,0.7869517405832563,0.5694447862646626,0.5041375218584487,0.546165815909925,0.8704702517978514,0.5939067607255288,0.5922840942700813,0.8242232962093283,0.8543706910850851,0.6371832296237433,0.6866922445235694,0.20584298539274942,0.7008730232516964,0.6518112947601558,0.22394720436028984,0.40537090157323274,0.8021353078102849,0.6949922059420062,0.9441540651845512,0.45728464439760497,0.8167141597632985,0.7685290845408803,0.6429103448410716,0.752366327728742,0.5417196824748945,0.7728958889690813,0.8131414482741134,0.48709825274945834,0.4046045449380248,,0.3587389449003544,0.7833986953404422,0.4459983900006891,0.9605183378885304,,,0.6270788749927364
CT,0.72565457828839,0.6969437921301821,0.5244686788287214,0.666372962562514,0.8251232616057558,0.9526960595260281,0.5444202289418855,0.6989729387922712,0.8823710320960184,0.8518582376815002,0.5290351522043621,0.4327375690176382,0.48395523290266523,0.5874595882176427,0.7865285651764631,0.48498751005043206,0.7885762606014622,0.6846030050501157,0.5270484629211433,0.41803099678752836,0.23076215388752377,0.8009247771784183,0.552763670269334,0.15968040116760396,0.44381874035562435,0.8343904542051397,0.6821691138903128,0.5886807685681757,0.3058697884015571,0.8437378613166338,0.7550091153440159,0.8313316428980193,0.7705340091581165,0.33085435536021585,0.6712005835760299,0.6889014015580507,0.46358069179388794,0.34850696464141495,,0.30856376862137763,0.558101837004672,0.9017123689309852,0.6024893190627642,0.4850247933021655,0.5936822715743583,0.5970341519372475
DC,0.6208290213973601,0.905474349140053,0.08180049480769906,0.8996805856795377,0.0,0.3962773924751262,0.37649343126099916,0.7398616649695252,0.0,1.0,0.0,0.18096278339251629,0.0,0.4189264976402937,0.932766468001777,0.0,0.19266107892947362,0.0,1.0,0.1870804855824838,1.0,0.9371216049771202,0.3862560794023009,1.0,0.04725056241211847,0.9469212662673296,0.6919194144205076,0.560677795764147,0.034686696200873335,0.9336579375670505,0.7734505915919141,0.5155149353741992,0.0,0.2406765965234984,0.5582897607153033,0.7949421478465901,0.34679651434064884,0.1128882803492921,,0.2808372787451592,0.0,0.4215445642104426,0.42229518628956403,0.268072730792963,0.594303106108329,0.440788007969143
DE,0.48454670514156944,0.36007128034602437,0.5740842494819763,0.4105056004931052,0.6419971681857765,0.6136615271649807,0.416223016254212,0.3928148886317832,0.8584465095317395,0.6288463210610223,0.7034524599491367,0.6815648682501846,0.9818915429817333,0.40968961480089033,0.7474767979984009,0.48619471143521636,0.5973793244303186,0.8323319569488508,0.279029722964535,0.4909770323919344,0.2691372140482217,0.5465347679258223,0.7520862474216323,0.1083887436373435,0.4337569605173775,0.7010618430510923,0.6082353587694757,0.4541595744387489,0.9861762451991792,0.6921012558777407,0.6400019416048978,0.6665941943083833,0.9363179230484544,0.6401513489452488,0.5468950614512078,0.6710535232865942,0.7192532287866975,0.23966050080462917,,0.30655840935659606,0.9159982400151503,0.5080278745778039,0.6022694648909311,0.873106327757913,0.7426042459864224,0.5798369314419504
FL,0.5244267733955933,0.6555278578403047,0.5590468892432718,0.4280686269123645,0.7240706764673714,0.5830446954099496,0.6464598052372929,0.43775366683451716,0.7715121323380746,0.7521613312551899,0.7104225888969478,0.8799675563242482,0.8174591998184035,0.35628103549774076,0.19025756250742437,0.5802229492836232,0.44425052085883404,0.7832915609788285,0.2847538825809904,0.5704199621285896,0.14560299802070953,0.27623185243276516,0.42146619920935025,0.13470168772152902,0.2341063372013698,0.547440653846781,0.5212964200850293,0.46899237019414863,0.580173965082324,0.5278072518975453,0.5498112518319065,0.4651855135655769,0.7628195367081357,0.2538546791839966,0.715633383196649,0.4796901452785624,0.621800129052413,0.2750340001406437,,0.18503486746843376,0.6646069543070894,0.279179415753523,0.7075072835592447,0.6553598489101089,0.5951878785558616,0.5052868733756973
