State  predictor_index
   AK         0.547767
   AL         0.435625
   AR         0.402086
   AZ         0.527161
   CA         0.517005
   CO         0.627079
   CT         0.597034
   DC         0.440788
   DE         0.579837
   FL         0.505287
   GA         0.493635
   HI         0.568906
   IA         0.667437
   ID         0.641515
   IL         0.523948
   IN         0.528054
   KS         0.634632
   KY         0.440788
   LA         0.365738
   MA         0.570337
   MD         0.577815
   ME         0.569880
   MI         0.509496
   MN         0.697513
   MO         0.527282
   MS         0.383736
   MT         0.601859
   NC         0.535936
   ND         0.637939
   NE         0.660627
   NH         0.640580
   NJ         0.586702
   NM         0.461327
   NV         0.495752
   NY         0.485169
   OH         0.500862
   OK         0.459554
   OR         0.548822
   PA         0.512493
   RI         0.545847
   SC         0.496123
   SD         0.617058
   TN         0.437323
   TX         0.500032
   UT         0.707032
   VA         0.599574
   VT         0.622199
   WA         0.605435
   WI         0.603388
   WV         0.387364
   WY         0.663876
