State  v009_rawvalue_norm  v011_rawvalue_norm  v049_rawvalue_norm  v070_rawvalue_norm  v045_rawvalue_norm  v014_rawvalue_norm  v138_rawvalue_norm  v060_rawvalue_norm  v061_rawvalue_norm  v132_rawvalue_norm  v183_rawvalue_norm  v143_rawvalue_norm  v004_rawvalue_norm  v062_rawvalue_norm  v088_rawvalue_norm  v005_rawvalue_norm  v085_rawvalue_norm  v131_rawvalue_norm  v024_rawvalue_norm  v044_rawvalue_norm  v069_rawvalue_norm  v168_rawvalue_norm  v023_rawvalue_norm  v140_rawvalue_norm  v171_rawvalue_norm  v151_rawvalue_norm  v063_rawvalue_norm  v172_rawvalue_norm  v141_rawvalue_norm  v149_rawvalue_norm  v184_rawvalue_norm  v177_rawvalue_norm  v136_rawvalue_norm  v153_rawvalue_norm  v154_rawvalue_norm  v067_rawvalue_norm  v137_rawvalue_norm  v167_rawvalue_norm  v169_rawvalue_norm  v036_rawvalue_norm  v042_rawvalue_norm  v144_rawvalue_norm  v145_rawvalue_norm  v147_rawvalue_norm
   AK            0.366520            0.559965            0.425193            0.585772            0.469642            0.438410            0.705013            0.765593            0.995754            0.499710            0.360683            0.608994            0.424352            0.006635            0.291201            0.803072            0.344103            0.353507            0.772347            0.797961            0.278682            0.889719            0.280432            0.272098            0.683262            0.166073            0.672035            0.076909            0.841266            0.000000            0.465047            0.514005            0.423654            0.767317            0.738137            0.311891            0.933053            0.692645                 NaN            0.541225            0.726705            0.560363            0.727326            0.856662
   AL            0.355449            0.129860            0.803517            0.214768            0.579577            0.196166            0.775941            0.083388            0.874483            0.078014            0.485594            0.345913            0.863135            1.000000            0.954970            0.243122            0.521186            0.781268            0.236059            0.507318            0.177979            0.353881            0.809492            0.310651            0.785490            0.749114            0.155411            0.197749            0.606528            0.489938            0.497721            0.319182            0.870458            0.868150            0.741018            0.020099            0.395362            0.467630            0.183634            0.465209            0.351598            0.384608            0.365446            0.807493
   AR            0.149680            0.185113            0.566688            0.065176            0.602598            0.000000            0.870045            0.041207            0.918248            0.124616                 NaN            0.423537            0.810175            0.798021            0.963149            0.364378            0.551146            0.772062            0.291999            0.583922            0.077835            0.396961            0.578985            0.303148            0.646992            0.544330            0.094601            0.345107            0.542297            0.228522                 NaN            0.011014            0.860563            0.753835            0.832155            0.053000            0.622835            0.530987            0.238410            0.056600            0.161560            0.035665            0.151050            0.817027
   AZ            0.603773            0.471310            0.472004            0.518960            0.634728            0.490532            0.638198            0.385802            0.893964            0.663296            0.432442            0.626676            0.826088            0.919566            0.754796            0.727481            0.380881            0.689481            0.553671            0.704997            0.332996            0.450250            0.375841            0.087004            0.630963            0.424434            0.461051            0.165937            0.709170            0.424222            0.450373            0.495866            0.602043            0.779039            0.598500            0.257700            0.383839            0.520501            0.317248            0.488396            0.485121            0.460658            0.532178            0.888464
   CA            0.781119            0.795114            0.463395            0.586746            0.693184            0.758420            0.784131            0.443163            0.842523            0.864655            0.480073            0.672762            0.632024            0.480054            0.434483            0.626458            0.708159            0.981506            0.615988            0.645117            0.394781            0.000000            0.115306            0.107350            0.627729            0.238438            0.831888            0.210932            0.466878            0.633234            0.168642            0.529533            0.018205            0.441603            0.000000            0.284562            0.223313            0.435354            0.423372            0.511731            0.673354            0.535709            0.762730            0.950672
   CO            0.704060            0.965488            0.306188            0.875697            0.729370            0.696374            0.729225            0.881863            0.905087            0.758148                 NaN            0.945082            0.608613            0.448470            0.515924            0.840854            0.650341            0.579007            0.845949            0.750073            0.619536            0.818253            0.604078            0.199706            0.560204            0.403130            0.772709            0.380827            0.335046            0.656648                 NaN            0.960518            0.675734            0.759064            0.502546            0.289451            0.389565            0.774674            0.440002            0.689887            0.574659            0.676107            0.648432            0.930087
   CT            0.728277            0.641846            0.508030            0.506751            1.000000            0.942657            0.581721            0.687089            0.875484            0.839743            0.485025            0.602259            0.610331            0.409619            0.507771            1.000000            0.794882            0.457335            0.721384            0.577346            0.496604            0.675182            0.424200            0.206769            0.313608            0.348068            0.751138            0.320270            0.299476            0.860119            0.593682            0.602489            0.579652            0.755074            0.359006            0.219628            0.423057            0.543135            0.627037            0.660417            0.654149            0.669580            0.696262            0.000000
   DC            0.727563            1.000000            0.018077            1.000000            0.000000            0.556695            0.217049            0.729409            0.000000            1.000000            0.268073            0.830158            0.000000            0.073252            0.000000            0.378512            0.987489            0.000000            0.268981            0.000000            1.000000            0.827087            0.072085            1.000000            0.117272            0.159344            1.000000            0.304899            0.062402            0.650080            0.594303            0.422295            0.430488            0.000000            0.345642            1.000000            0.007663            0.000000            0.558895            1.000000            0.741000            1.000000            0.929765            0.882723
   DE            0.524166            0.179649            0.665576            0.522076            0.679291            0.592197            0.430507            0.329388            0.845118            0.496398            0.873106            0.565838            0.729340            0.692403            1.000000            0.435921            0.746142            0.502968            0.576619            0.795786            0.303595            0.681357            0.357738            0.256677            0.869578            0.278526            0.535461            0.306039            1.000000            0.769038            0.742604            0.602269            0.787186            0.938599            0.705658            0.167582            0.437489            0.904454            0.548839            0.735199            0.727238            0.680907            0.712515            0.888652
   FL            0.606033            0.551729            0.531124            0.436349            0.706367            0.597422            0.661842            0.487024            0.751812            0.707544            0.655360            0.465159            0.739113            0.884743            0.782342            0.293809            0.304404            0.465254            0.542657            0.728402            0.291618            0.504655            0.683614            0.136251            0.790035            0.331517            0.369991            0.178112            0.523335            0.585749            0.595188            0.707507            0.475663            0.789472            0.230433            0.192210            0.179578            0.652056            0.299099            0.638212            0.581294            0.527738            0.599331            0.917862
