State  unemployment_rate_avg  unemployment_norm State_abbr
   AK               6.393548          23.922200         AK
   AL               3.198039          80.674981         AL
   AR               4.014035          66.182757         AR
   AZ               5.402083          41.530786         AZ
   CA               5.962712          31.573929         CA
   CO               3.767179          70.566954         CO
   CT               4.607407          55.644364         CT
   DC               5.466667          40.383775         DC
   DE               4.658333          54.739911         DE
   FL               3.667157          72.343372         FL
   GA               3.692083          71.900674         GA
   HI               4.340000          60.393565         HI
   IA               3.082000          82.735857         IA
   ID               3.574074          73.996538         ID
   IL               4.790615          52.390569         IL
   IN               3.250538          79.742600         IN
   KS               2.533648          92.474684         KS
   KY               4.779063          52.595726         KY
   LA               4.507179          57.424429         LA
   MA               4.484444          57.828207         MA
   MD               3.481333          75.643630         MD
   ME               3.764706          70.610885         ME
   MI               5.425000          41.123782         MI
   MN               3.329167          78.346135         MN
   MO               3.335057          78.241513         MO
   MS               4.856627          51.218191         MS
   MT               3.136842          81.761852         MT
   NC               4.315512          60.828484         NC
   ND               2.498148          93.105164         ND
   NE               2.109929         100.000000         NE
   NH               2.654545          90.327521         NH
   NJ               5.177273          45.523460         NJ
   NM               5.266667          43.935809         NM
   NV               4.218519          62.551097         NV
   NY               4.289418          61.291910         NY
   OH               4.324719          60.664956         OH
   OK               3.449145          76.215294         OK
   OR               4.573874          56.239926         OR
   PA               4.641667          55.035914         PA
   PR               7.740506           0.000000         PR
   RI               3.622222          73.141419         RI
   SC               3.908511          68.056889         SC
   SD               2.508458          92.922064         SD
   TN               3.959028          67.159696         TN
   TX               4.523268          57.138695         TX
   US               4.233333          62.287983         US
   UT               3.143333          81.646566         UT
   VA               3.449502          76.208951         VA
   VT               2.917778          85.652471         VT
   WA               5.381667          41.893390         WA
   WI               3.549315          74.436262         WI
   WV               4.827381          51.737597         WV
   WY               3.494444          75.410774         WY
