               State  mental_health_norm  life_expectancy_norm  poverty_norm  income_norm  unemployment_norm  education_index_norm
              Alaska           55.407492             50.769231     59.960419    57.349413          23.922200              7.241790
             Alabama           46.007092             12.307692     20.766862     9.410977          80.674981              3.605733
            Arkansas           26.326828             20.000000     23.413482     3.313841          66.182757              4.184414
             Arizona           57.512074             67.692308     38.383592    25.894331          41.530786              5.337319
          California           57.258400            100.000000     64.517766    64.863108          31.573929              5.442527
            Colorado           54.119247             86.153846     70.446421    48.819161          70.566954              8.551705
         Connecticut           61.887140             90.769231     89.968561    79.247864          55.644364              8.504140
District of Columbia           63.940277             55.384615     49.601832   100.000000          40.383775             10.387243
            Delaware           67.418995             56.923077     82.357199    61.996465          54.739911              7.660959
             Florida           57.219083             70.769231     54.591428    29.552829          72.343372              5.324306
             Georgia           48.538147             46.153846     27.340489    20.479305          71.900674              3.777876
              Hawaii           76.139587            100.000000     82.016391    74.417142          60.393565              7.107653
                Iowa           64.646501             70.769231     82.894917    38.614984          82.735857              7.985851
               Idaho           66.723067             78.461538     77.842554    33.363473          73.996538              6.414185
            Illinois           63.783825             70.769231     67.837043    35.739551          52.390569              7.043228
             Indiana           51.492618             40.000000     76.117209    35.465080          79.742600              5.979401
              Kansas           64.621257             58.461538     75.051634    27.226284          92.474684              7.345825
            Kentucky           48.775555             16.923077     24.096052    11.743596          52.595726              3.468901
           Louisiana           32.502281             20.000000      6.223181     8.140400          57.424429              2.859295
       Massachusetts           60.992611             92.307692     83.682560    80.787449          57.828207              9.232060
            Maryland           62.410155             63.076923     83.197857    76.890103          75.643630              7.814467
               Maine           51.470598             60.000000     74.995316    31.427174          70.610885              8.933390
            Michigan           51.491636             55.384615     61.043219    27.074052          41.123782              7.730937
           Minnesota           66.251655             92.307692     87.520945    48.079056          78.346135              8.554101
            Missouri           57.326741             38.461538     56.424506    16.445755          78.241513              5.465065
         Mississippi           46.836845              0.000000      0.000000     0.000000          51.218191              3.108404
             Montana           57.235515             61.538462     59.686538    23.156484          81.761852              8.467524
      North Carolina           60.592829             49.230769     48.357079    23.623815          60.828484              5.596803
        North Dakota           72.019260             67.692308     76.613965    41.544937          93.105164              7.896027
            Nebraska           76.440672             73.846154     80.564536    30.382938         100.000000              8.154057
       New Hampshire           57.473846             76.923077    100.000000    64.640917          90.327521              9.187798
          New Jersey           68.222795             87.692308     92.564205    93.589554          45.523460              8.152385
          New Mexico           50.799620             38.461538     17.548127    11.032417          43.935809              5.192714
              Nevada           38.617082             55.384615     74.636441    48.450967          62.551097              5.912373
            New York           57.962165             96.923077     63.077845    46.584513          61.291910              7.102764
                Ohio           41.810898             38.461538     67.718653    34.349674          60.664956              6.587777
            Oklahoma           44.392064             20.000000     31.842956    12.737837          76.215294              4.942844
              Oregon           39.642461             80.000000     59.979567    35.968857          56.239926              7.097667
        Pennsylvania           50.572084             60.000000     69.693869    34.508549          55.035914              6.987349
        Rhode Island           51.822942             78.461538     87.216858    78.521272          73.141419              8.838312
      South Carolina           55.293282             36.923077     30.039654    15.677448          68.056889              4.598343
        South Dakota           68.720007             61.538462     56.983164    29.723302          92.922064              7.449689
           Tennessee           29.976289             18.461538     45.680970    19.620109          67.159696              4.198199
               Texas           53.040590             64.615385     46.275434    25.404304          57.138695              3.069033
                Utah           56.547457             81.538462     90.776401    58.675952          81.646566              8.748037
            Virginia           54.685012             72.307692     63.318901    43.735252          76.208951              6.217972
             Vermont           53.682206             83.076923     84.389420    42.430698          85.652471              9.389216
          Washington           45.198003             86.153846     69.671594    51.023565          41.893390              7.396699
           Wisconsin           60.720546             75.384615     83.039332    39.868759          74.436262              8.340706
       West Virginia           30.862084              1.538462     29.653786     7.246410          51.737597              4.255987
             Wyoming           66.782875             50.769231     84.155904    45.713339          75.410774              9.000671
