State  target_index Percentile_Class
   AK      0.450603                1
   AL      0.366053                1
   AR      0.369063                1
   AZ      0.497261                2
   CA      0.650721                4
   CO      0.651644                4
   CT      0.692630                5
   DC      0.509195                2
   DE      0.601945                3
   FL      0.547350                3
   GA      0.519367                2
   HI      0.611568                4
   IA      0.678889                5
   ID      0.589632                3
   IL      0.633061                4
   IN      0.569126                3
   KS      0.580857                3
   KY      0.468219                1
   LA      0.326653                1
   MA      0.786385                5
   MD      0.660419                4
   ME      0.607777                3
   MI      0.582762                3
   MN      0.736390                5
   MO      0.496079                2
   MS      0.277470                1
   MT      0.472423                2
   NC      0.531677                2
   ND      0.589332                3
   NE      0.632500                4
   NH      0.710769                5
   NJ      0.750071                5
   NM      0.374695                1
   NV      0.524301                2
   NY      0.736903                5
   OH      0.561253                3
   OK      0.378637                1
   OR      0.621180                4
   PA      0.589595                3
   RI      0.676715                5
   SC      0.437420                1
   SD      0.517165                2
   TN      0.459518                1
   TX      0.519314                2
   UT      0.658687                4
   VA      0.663189                4
   VT      0.663507                5
   WA      0.668965                5
   WI      0.657962                4
   WV      0.394406                1
   WY      0.533141                2
