State,v001_rawvalue_norm,v127_rawvalue_norm,v128_rawvalue_norm,v129_rawvalue_norm,v135_rawvalue_norm,v161_rawvalue_norm,v015_rawvalue_norm,v039_rawvalue_norm,v148_rawvalue_norm,v125_rawvalue_norm,v124_rawvalue_norm,v179_rawvalue_norm,v182_rawvalue_norm,v166_rawvalue_norm,v181_rawvalue_norm,v156_rawvalue_norm,v134_rawvalue_norm,v139_rawvalue_norm,v083_rawvalue_norm,v133_rawvalue_norm,v155_rawvalue_norm,hate_crime_count,hate_crime_norm,target_index,Percentile_Class
AK,0.4514064967920902,0.5766605549015522,0.24888335913363469,0.5889531474387748,0.43803771694062765,0.03301474508790969,0.6604386394354481,0.7241928423423911,0.14762865826160143,0.8751452244755977,0.2348610085844428,0.4095218820894268,0.8576473839268468,0.7900145897807548,0.4529099830949504,0.9377999228635485,0.3951487569437113,0.5796618287821613,0.45374565629157715,0.06204662491984838,0.09277895234631854,,,0.45502263520150976,1
AL,0.2044655115740004,0.18981225286950365,0.24935541384880267,0.25302161244561594,0.6130019099183404,0.5549787076200092,0.4724888231394151,0.24506181895453494,0.15080107633536333,0.5243696368157842,0.908477951542955,0.0872087051084938,0.5590617330346626,0.3366404454087524,0.40943187477875864,0.9509911102210636,0.735976338950104,0.15745460379818454,0.3742736095507395,0.25593739927927556,0.4540186232998781,,,0.39485587084064716,1
AR,0.26644363496890766,0.2417118891030411,0.24003349513142946,0.21100607123686477,0.6359203201299657,0.4389637565722979,0.5960207775089261,0.2871704304372493,0.2610738824131065,0.5433071242820888,0.5630922603746279,0.07900891704509365,0.6074808283775256,0.25458717461379227,0.4785702677731213,0.9740078408915498,0.6675190761251639,0.021852260394761958,0.2644742704173799,0.10373409724746765,0.6307693846847593,,,0.3803067163513237,1
AZ,0.5259934736654861,0.5905543771899642,0.52993108465782,0.6337256313882239,0.5237550882184071,0.42733978296764275,0.7598206850397525,0.5393880353934029,0.40681495407191914,0.5413764070804487,0.11945415756327193,0.4447176545679682,0.11094247880374897,0.7662192335501493,0.33603795922524793,0.7319745342932527,0.9387242148171393,0.5288764614349563,0.3813206325580619,0.14118998825456994,0.562053871231195,,,0.4791004866351195,1
CA,0.8959033830355888,0.9005247933130232,0.8603374685507627,0.92099822023197,0.96644278303437,0.814649716395645,0.8226400408444421,0.7431379343145368,0.8009225287272788,0.022128406700489323,0.31186390702241484,0.7904935907658245,0.2232691632293904,0.9591905107859989,0.2830449994021218,0.16972105745641286,0.7136399678078371,0.6102405627781047,0.8575911058553536,0.6906251959082221,0.5332705567122332,,,0.6313925405850921,4
CO,0.8033568791042012,0.8704685717744046,0.6289590646648369,0.7946721587770236,0.6165434210491952,0.3032131887537971,0.8230527168362687,0.6987782916849605,0.4574167604725443,0.7096312738220847,0.43007674850017075,0.6676210638991881,0.5855950345603474,0.9826158712335721,0.8104238307159009,0.7688142104986551,0.31856562524871,0.6979776065558596,0.6992883544481358,0.5613393334014078,0.6908030387580613,,,0.632691502034515,4
CT,0.9047516397751687,0.943217940424654,0.9129424602588508,0.8485621885006942,0.7363569042836264,0.8150185429718794,0.9158193919621883,0.8902528571097876,0.9065555525441319,0.9857690562931785,0.23757368974003812,0.6557934312897636,,0.8345438318876514,0.743544563616756,0.8732668796545543,0.5318125150250914,0.5466301424421309,0.7671572365758794,0.7810212000224931,0.0,,,0.6741177283808418,5
DC,0.5607509019217678,0.44135523448178815,0.38190311820565603,0.5149677225495171,0.38376342592410473,1.0,0.0,0.9749552300074872,0.2100504801438552,0.6016305641677615,0.0,1.0,1.0,0.7476405629147667,,0.0,0.8213507543435499,0.7359902050050641,1.0,1.0,0.5113748316175362,,,0.5402605923310388,2
DE,0.5935887247484896,0.655366967602084,0.5485150401955927,0.476370229305245,0.5530371516673899,0.7454898688204573,0.7419397681288626,0.6285142227899594,0.6274973554989712,0.6245225397330876,0.4839350054285013,0.4907583571754372,0.8130200694407825,0.8575339121943125,0.3789878866669223,0.8697819048465636,0.7734249089197122,0.6145432864850344,0.5899092849833956,0.7081719535732833,0.9373833260478036,,,0.6232859892841768,4
FL,0.6474857286861412,0.7032397195457161,0.5743033008404409,0.5553534516357208,0.6042563144119235,0.6448103009699975,0.7737321385602627,0.5009667486283891,0.5624643603252867,0.5822240405457884,0.6669346752089564,0.34283684263484765,0.5219097728892101,0.754334559391093,0.3316627988492304,0.8077414736339912,0.8824724091408591,0.5412619904532657,0.4764671375579972,0.5103755126770223,0.5125898555660388,,,0.568064687825099,3
