State,v001_rawvalue_norm,v127_rawvalue_norm,v128_rawvalue_norm,v129_rawvalue_norm,v135_rawvalue_norm,v015_rawvalue_norm,v039_rawvalue_norm,v125_rawvalue_norm,v124_rawvalue_norm,v134_rawvalue_norm,v139_rawvalue_norm,v083_rawvalue_norm,v133_rawvalue_norm,v148_rawvalue_norm,v155_rawvalue_norm,v161_rawvalue_norm,v156_rawvalue_norm,v166_rawvalue_norm,v179_rawvalue_norm,v182_rawvalue_norm,v181_rawvalue_norm,hate_crime_count,hate_crime_norm,target_index,Percentile_Class
AK,0.5070304513205891,0.6210085549428495,0.35222508988514883,0.6882790071190307,0.3581345435800023,0.6662148883833882,0.771931681547148,0.6732284910372847,0.29666412566749134,0.3960996023554742,0.5289635013988607,0.4073461382968508,0.11236895618832579,0.024770306373299023,0.013254136049474077,0.03669562016333346,0.9445812845094387,0.7943958904934929,0.4095218820894268,0.8576473839268468,0.4529099830949504,,,0.4506032508373958,1
AL,0.14689531818384624,0.14247740612712123,0.24442780277874612,0.1487182651247507,0.5118613065804342,0.48458060066430836,0.23113879164676854,0.21791607254854203,0.8805397434173101,0.7076740990834882,0.2214135348543226,0.42651671154318277,0.2909705173572173,0.1189129543424472,0.42252987426929495,0.5371980378255007,0.9580908474075729,0.30560021730793113,0.0872087051084938,0.5590617330346626,0.40943187477875864,,,0.36605292790839544,1
AR,0.23265209072293488,0.20487551878104993,0.2903195328242157,0.2966672328204486,0.5073613430947993,0.5875289055186338,0.2638335756707507,0.29850554317949984,0.5035915578868916,0.6993338511468042,0.15002818912709603,0.3476315028940435,0.20069530174614958,0.22229607832155981,0.6192600504923361,0.4032949762133395,0.9759106296040412,0.1505385122523775,0.07900891704509365,0.6074808283775256,0.4785702677731213,,,0.36906292752239606,1
AZ,0.6363876246686234,0.7027090937452235,0.6358192308223576,0.658036529545325,0.48949915153108364,0.7286185945721697,0.5901276439986811,0.65954665603888,0.18977539844086844,0.800811608625803,0.4225703210722822,0.4663380162561852,0.14278870469796895,0.389361814481735,0.5502467739145687,0.4301637797767574,0.7975689382190532,0.7576819348065357,0.4447176545679682,0.11094247880374897,0.33603795922524793,,,0.4972613594459576,2
CA,0.968291315907042,0.9571076753268215,0.900252670620803,0.9102579153745943,0.9624212891280767,0.7846293849818146,0.799277316906473,0.31301089813845645,0.32586013987074797,0.649452025934114,0.5987679406179494,0.8310672727984113,0.6669257755305007,0.7735850007215986,0.4419304635835428,0.802708685582803,0.40276067018474504,0.9307575131411303,0.7904935907658245,0.2232691632293904,0.2830449994021218,,,0.6507214412612256,4
CO,0.8598236544728103,0.9145584282266075,0.7387733449929068,0.7966325016736785,0.5702539765366035,0.8446715435002379,0.7384247498407884,0.6846954390763393,0.4450015446013822,0.43535775308637065,0.6632242500503015,0.6550922247598305,0.6541766958860081,0.4616723781206655,0.7051589633902647,0.29942065708686216,0.8338304500311621,0.9717651642279561,0.6676210638991881,0.5855950345603474,0.8104238307159009,,,0.651644256760737,4
CT,0.9353322002917236,0.9602077195977327,0.9455610217018535,0.7989853127879125,0.742958907294841,0.8919746085936651,0.8796452834665277,0.589643893363784,0.1901269145281323,0.5192881008569062,0.605758723876233,0.7520653011871804,0.8511578287782456,0.9074505089013497,0.8150927248541502,0.8074898967486565,0.8209155463786661,0.8248599695155454,0.6557934312897636,,0.743544563616756,,,0.6926296571649831,5
DC,0.4925762352470905,0.4028534885300452,0.11029073673992196,0.23711236274791714,0.5700651755756282,0.0,0.9845846435657545,0.24157988359512214,0.42614394354010465,0.667282017946405,0.6063917436940385,1.0,0.9370161246595892,0.32502942695238396,0.35298541155061536,1.0,0.14259348081266765,0.7057759635281357,1.0,1.0,,,,0.5091945744857009,2
DE,0.5623540006273583,0.635950691155494,0.5346136527234896,0.35818638053391233,0.604748448865448,0.7074522200975462,0.6293014044764834,0.41889127517769753,0.4363961628791371,0.5686332560940033,0.6222875296938762,0.6349369063050241,0.8056415103409716,0.5991380349407484,0.9842766730766703,0.7414231065438831,0.8818905344198168,0.8338998732168184,0.4907583571754372,0.8130200694407825,0.3789878866669223,,,0.6019449079296146,3
FL,0.6500931822940971,0.7030746680425249,0.6007116500487915,0.5472200540534188,0.5609070473936238,0.7231127711926516,0.5375606041010734,0.559935906733335,0.5254075808383661,0.8035154336631158,0.46929891476356445,0.5101123266075028,0.4944472304045162,0.5139452398649992,0.4758214039283066,0.6250601418995162,0.8399356068160576,0.7051362694806282,0.34283684263484765,0.5219097728892101,0.3316627988492304,,,0.5473502475681535,3
GA,0.5521931635813713,0.5197597834510396,0.48345157071144906,0.3805715366836249,0.763693751405942,0.6423763896260707,0.5495012374817656,0.21616855576276672,0.7918617235780822,0.9050205691988815,0.41696378434607023,0.34766598957913075,0.3966936153547684,0.4020069369367107,0.5531269499958379,0.636231904678458,0.8886046756733039,0.6257412556729638,0.23159070165878223,0.9050425170879591,0.21781742298703527,,,0.5193674561569097,2
HI,0.9155809082443713,0.9502165409525799,0.6853733077945356,0.6698223082958469,0.8690291521865073,0.956029805763404,0.878601561076482,0.9818499104538517,,0.43742073608986376,0.5862160948518752,0.6039011386666383,0.463887833727221,0.9898108134145789,0.5547425778734019,0.6523281549877806,0.443012909746068,0.8038786433714085,0.6797044493889765,0.33308004380758094,0.0,,,0.6115675859405897,4
IA,0.8339911529239381,0.7853589303564988,0.7173014267290976,0.7824866473134038,0.7400183624917068,0.9291863672450856,0.6848591530547458,0.4603551239586812,0.8450170670801501,0.745130712154383,0.722422586073423,0.6296953771386944,0.8712976594841543,0.7198035092065501,0.950227507826213,0.5411940552380807,0.8100231600442463,0.5213977794117588,0.32933294291911197,0.5261339348714621,0.7903229319792848,,,0.6788889267045759,5
ID,0.8185478660713632,0.8339279924633779,0.6889328214639943,0.7590170187723618,0.6306619071670364,0.9643808534766932,0.5689900944554678,0.6578873280780589,0.4092371623729727,0.5380049224167641,0.5919636077060114,0.4956963876217724,0.5655810272794687,0.413937200763561,0.4314415297902005,0.25053789211072197,0.9455376143495818,0.7530877627265362,0.2312409199908547,0.658922375438582,0.7643700934189284,,,0.5896320171788323,3
IL,0.7515146942050748,0.7383461494353899,0.6318538952287219,0.5346209128674025,0.8149899379452834,0.6333702352768543,0.8392989741351428,0.14735058005713408,0.6536021369547419,0.5408396916085932,0.6730403645132087,0.7214105281301909,0.7212698126744919,0.6198137990767442,0.7136055025249565,0.7801446767813852,0.7861440523716426,0.6720106062699597,0.7151753614529401,0.6523849941481394,0.5865502817237289,,,0.6330607812446238,4
IN,0.4758522986407195,0.46042413252768843,0.45993160473069034,0.36375015922012516,0.6053183841203474,0.6831131665197561,0.6432705710352035,0.14636611976346894,0.803808762301122,0.9379002646750197,0.4808333041381957,0.4873019363880707,0.6894322314529129,0.44824166719989544,0.7929619386970633,0.5706253941189123,0.910748138158641,0.5408458707328313,0.31320278040574473,0.9943702066713759,0.7124631819474371,,,0.5691255506111464,3
KS,0.6656136129598494,0.6442236060101192,0.5600565137749032,0.5536744651395848,0.630183021746583,0.7888325321673377,0.5698084836124971,0.5580298377816649,0.6445002164743371,0.8237065086772695,0.549834906609371,0.413995013496814,0.6026064255241901,0.47837186985947944,0.7063916977463054,0.4259730234645251,0.949011428323792,0.6386641382286609,0.30901408044633144,0.4198378879711815,0.8465267752138842,,,0.5808570929649401,3
KY,0.22535226017181015,0.1740295347018315,0.49150753806663067,0.5134757314438013,0.3508712349068482,0.7271008040261226,0.37090848481196265,0.2447611109080456,0.8096386100855281,0.7180460436513096,0.34654239149012217,0.6296175668344175,0.4590481094701604,0.3400241645846138,0.5879261153765134,0.49007912102231194,0.9343552835403193,0.4358283793783432,0.22906090103319762,0.7978039657699478,0.42484851615846464,,,0.4682193576105592,1
LA,0.18434153007730528,0.20286229279250403,0.20276829901440763,0.205585121884543,0.4278742362700459,0.3053373251350239,0.3582331163789699,0.39400177320111873,0.32668609755780154,0.5115572355726831,0.2775151370410612,0.2762838864772201,0.3229057237286695,0.09062736285397355,0.4594319332742541,0.600023498381513,0.9229557077669361,0.24173355452759324,0.21328648581164908,0.2014110881810217,0.4609457462652751,,,0.326653052372435,1
MA,0.96271377094657,0.955956882203349,0.9938727471016591,0.9570350725458695,0.8319617265294287,0.9480472344370131,0.992896657683827,0.6020213431668113,0.42003931294247787,0.6146568052651009,0.8064496674145971,0.7665225013906555,0.9659438719787865,0.9987882284654219,0.9785824700689588,0.8706090451323608,0.4362564729502357,0.8811310952999758,0.6563329108705396,0.8645059773746463,0.7961510992019759,,,0.7863852224077392,5
MD,0.6891488249618856,0.7211659569339757,0.6264638485038581,0.47924651132586804,0.6498341506749855,0.578619435666595,0.8157020522064805,0.3841730919628601,0.6981012074767079,0.5869279371420023,0.672541925100025,0.821009768125553,0.8105701844382049,0.5894946541224368,0.7991127659972385,0.8357819473707716,0.797995563717688,0.8806505305756234,0.6396682739451022,1.0,0.4530085747646685,,,0.660418963864206,4
ME,0.7145314688921868,0.7354776789664441,0.7227176602094418,0.6071517854182917,0.48641689609909144,0.9790301653648384,0.6738757539612564,0.709913699941549,0.3766881491047947,0.37648184171559346,0.4915407536189638,0.7924964279239816,0.7330611652801295,0.6087819571035505,0.6060217496975268,0.4587691277968753,0.9765691905295545,0.6124989998907223,0.12296566889510438,0.8081409323831128,0.7779705119960453,,,0.6077773447631389,3
MI,0.5871193535507524,0.5878377024384897,0.5726372505644738,0.43999118032447854,0.6444457074831579,0.6763916160937755,0.7672041298345593,0.42141979454574047,0.7044422427028235,0.6226979454505811,0.43091234128391454,0.5902377582216296,0.6238271279191997,0.5479067419132633,0.630518169293269,0.629132147497537,0.8363017456336145,0.6284278019776146,0.4218275556758733,0.9930939378423081,0.46440018667326227,,,0.5827623834963782,3
