State  target_index Percentile_Class
   AK     45.060325           Tier_1
   AL     36.605293           Tier_1
   AR     36.906293           Tier_1
   AZ     49.726136           Tier_2
   CA     65.072144           Tier_4
   CO     65.164426           Tier_4
   CT     69.262966           Tier_5
   DC     50.919457           Tier_2
   DE     60.194491           Tier_3
   FL     54.735025           Tier_3
   GA     51.936746           Tier_2
   HI     61.156759           Tier_4
   IA     67.888893           Tier_5
   ID     58.963202           Tier_3
   IL     63.306078           Tier_4
   IN     56.912555           Tier_3
   KS     58.085709           Tier_3
   KY     46.821936           Tier_1
   LA     32.665305           Tier_1
   MA     78.638522           Tier_5
   MD     66.041896           Tier_4
   ME     60.777734           Tier_3
   MI     58.276238           Tier_3
   MN     73.639025           Tier_5
   MO     49.607907           Tier_2
   MS     27.746986           Tier_1
   MT     47.242269           Tier_2
   NC     53.167729           Tier_2
   ND     58.933161           Tier_3
   NE     63.249984           Tier_4
   NH     71.076886           Tier_5
   NJ     75.007060           Tier_5
   NM     37.469472           Tier_1
   NV     52.430069           Tier_2
   NY     73.690257           Tier_5
   OH     56.125345           Tier_3
   OK     37.863726           Tier_1
   OR     62.117960           Tier_4
   PA     58.959494           Tier_3
   RI     67.671477           Tier_5
   SC     43.741966           Tier_1
   SD     51.716526           Tier_2
   TN     45.951802           Tier_1
   TX     51.931449           Tier_2
   UT     65.868663           Tier_4
   VA     66.318947           Tier_4
   VT     66.350654           Tier_5
   WA     66.896520           Tier_5
   WI     65.796222           Tier_4
   WV     39.440611           Tier_1
   WY     53.314067           Tier_2
