State  water_violations  water_norm
   AK               208   98.730554
   AL                87   99.483510
   AR              1002   93.789670
   AZ              1471   90.871189
   CA                31   99.831985
   CO               952   94.100809
   CT              1784   88.923460
   DC                 4  100.000000
   DE                 8   99.975109
   FL               105   99.371500
   GA               548   96.614810
   IA              1202   92.545115
   ID               589   96.359676
   IL              1431   91.120100
   IN                19   99.906658
   KS               783   95.152458
   KY               134   99.191039
   LA              1438   91.076540
   MA                61   99.645302
   MD                 4  100.000000
   ME              2174   86.496577
   MI               136   99.178594
   MN                93   99.446173
   MO              1933   87.996266
   MS               281   98.276291
   MT                 4  100.000000
   NC              1988   87.654014
   ND                10   99.962663
   NE                79   99.533292
   NH               985   93.895457
   NJ               188   98.855009
   NM              4116   74.411948
   NV                25   99.869322
   NY               564   96.515246
   OH              1472   90.864966
   OK               789   95.115121
   OR               681   95.787181
   PA             16074    0.000000
   RI               141   99.147480
   SC                 7   99.981332
   SD                65   99.620411
   TN               146   99.116366
   TX              8425   47.598009
   UT                11   99.956441
   VA               666   95.880523
   VT               123   99.259490
   WI               611   96.222775
   WV              8359   48.008712
