               State  hate_crime_count  hate_crime_norm
             Alabama               970        93.315849
              Alaska               135        99.234477
             Arizona              2324        83.718458
            Arkansas               197        98.795010
          California             14135         0.000000
            Colorado              2002        86.000851
         Connecticut               964        93.358378
            Delaware               173        98.965126
District of Columbia              1513        89.466969
             Federal               925        93.634817
             Florida              1569        89.070031
             Georgia              1200        91.685568
                Guam                27       100.000000
              Hawaii               353        97.689254
               Idaho               375        97.533314
            Illinois              1689        88.219450
             Indiana              1249        91.338248
                Iowa               416        97.242699
              Kansas               942        93.514318
            Kentucky              1854        87.049901
           Louisiana               560        96.222002
               Maine               492        96.703998
            Maryland              1240        91.402041
       Massachusetts              4254        70.038276
            Michigan              4103        71.108591
           Minnesota              1654        88.467536
         Mississippi               205        98.738305
            Missouri              1421        90.119081
             Montana               212        98.688687
            Nebraska               481        96.781968
              Nevada               815        94.414517
       New Hampshire               244        98.461866
          New Jersey              8470        40.154522
          New Mexico               392        97.412815
            New York              6937        51.020697
      North Carolina              2270        84.101219
        North Dakota               211        98.695775
                Ohio              4245        70.102070
            Oklahoma               512        96.562234
              Oregon              2136        85.051035
        Pennsylvania              1586        88.949532
        Rhode Island               173        98.965126
      South Carolina               790        94.591721
        South Dakota               179        98.922597
           Tennessee              1273        91.168132
               Texas              3893        72.597108
                Utah               740        94.946130
             Vermont               400        97.356110
            Virginia              1923        86.560817
          Washington              4792        66.224837
       West Virginia               571        96.144032
           Wisconsin               839        94.244400
             Wyoming               114        99.383329
