State  parks_access  parks_norm
   AK      0.456219   40.952188
   AL      0.167805    8.720871
   AR      0.160468    7.900892
   AZ      0.487713   44.471765
   CA      0.797122   79.049359
   CO      0.687173   66.762106
   CT      0.676589   65.579343
   DC      0.984594  100.000000
   DE      0.528912   49.075836
   FL      0.396548   34.283684
   GA      0.297002   23.159070
   HI      0.697985   67.970445
   IA      0.384464   32.933294
   ID      0.296689   23.124092
   IL      0.729726   71.517536
   IN      0.370030   31.320278
   KS      0.366282   30.901408
   KY      0.294738   22.906090
   LA      0.280623   21.328649
   MA      0.677072   65.633291
   MD      0.662160   63.966827
   ME      0.199801   12.296567
   MI      0.467231   42.182756
   MN      0.605047   57.584237
   MO      0.425180   37.483438
   MS      0.135816    5.145985
   MT      0.276893   20.911817
   NC      0.407809   35.542168
   ND      0.089768    0.000000
   NE      0.527740   48.944953
   NH      0.312361   24.875580
   NJ      0.678896   65.837082
   NM      0.491948   44.945034
   NV      0.593434   56.286389
   NY      0.630085   60.382291
   OH      0.472790   42.804071
   OK      0.326082   26.408876
   OR      0.702136   68.434230
   PA      0.382275   32.688614
   RI      0.567461   53.383889
   SC      0.204483   12.819818
   SD      0.338041   27.745383
   TN      0.262398   19.291939
   TX      0.459011   41.264204
   UT      0.553042   51.772525
   VA      0.459182   41.283270
   VT      0.241228   16.926127
   WA      0.567890   53.431795
   WI      0.558074   52.334822
   WV      0.145597    6.239008
   WY      0.429243   37.937460
