State  v001_rawvalue_norm  v127_rawvalue_norm  v128_rawvalue_norm  v129_rawvalue_norm  v135_rawvalue_norm  v015_rawvalue_norm  v039_rawvalue_norm  v125_rawvalue_norm  v124_rawvalue_norm  v134_rawvalue_norm  v139_rawvalue_norm  v083_rawvalue_norm  v133_rawvalue_norm  v148_rawvalue_norm  v155_rawvalue_norm  v161_rawvalue_norm  v156_rawvalue_norm  v166_rawvalue_norm  v179_rawvalue_norm  v182_rawvalue_norm  v181_rawvalue_norm
   AK            0.507030            0.621009            0.352225            0.688279            0.358135            0.666215            0.771932            0.673228            0.296664            0.396100            0.528964            0.407346            0.112369            0.024770            0.013254            0.036696            0.944581            0.794396            0.409522            0.857647            0.452910
   AL            0.146895            0.142477            0.244428            0.148718            0.511861            0.484581            0.231139            0.217916            0.880540            0.707674            0.221414            0.426517            0.290971            0.118913            0.422530            0.537198            0.958091            0.305600            0.087209            0.559062            0.409432
   AR            0.232652            0.204876            0.290320            0.296667            0.507361            0.587529            0.263834            0.298506            0.503592            0.699334            0.150028            0.347632            0.200695            0.222296            0.619260            0.403295            0.975911            0.150539            0.079009            0.607481            0.478570
   AZ            0.636388            0.702709            0.635819            0.658037            0.489499            0.728619            0.590128            0.659547            0.189775            0.800812            0.422570            0.466338            0.142789            0.389362            0.550247            0.430164            0.797569            0.757682            0.444718            0.110942            0.336038
   CA            0.968291            0.957108            0.900253            0.910258            0.962421            0.784629            0.799277            0.313011            0.325860            0.649452            0.598768            0.831067            0.666926            0.773585            0.441930            0.802709            0.402761            0.930758            0.790494            0.223269            0.283045
   CO            0.859824            0.914558            0.738773            0.796633            0.570254            0.844672            0.738425            0.684695            0.445002            0.435358            0.663224            0.655092            0.654177            0.461672            0.705159            0.299421            0.833830            0.971765            0.667621            0.585595            0.810424
   CT            0.935332            0.960208            0.945561            0.798985            0.742959            0.891975            0.879645            0.589644            0.190127            0.519288            0.605759            0.752065            0.851158            0.907451            0.815093            0.807490            0.820916            0.824860            0.655793                 NaN            0.743545
   DC            0.492576            0.402853            0.110291            0.237112            0.570065            0.000000            0.984585            0.241580            0.426144            0.667282            0.606392            1.000000            0.937016            0.325029            0.352985            1.000000            0.142593            0.705776            1.000000            1.000000                 NaN
   DE            0.562354            0.635951            0.534614            0.358186            0.604748            0.707452            0.629301            0.418891            0.436396            0.568633            0.622288            0.634937            0.805642            0.599138            0.984277            0.741423            0.881891            0.833900            0.490758            0.813020            0.378988
   FL            0.650093            0.703075            0.600712            0.547220            0.560907            0.723113            0.537561            0.559936            0.525408            0.803515            0.469299            0.510112            0.494447            0.513945            0.475821            0.625060            0.839936            0.705136            0.342837            0.521910            0.331663
   GA            0.552193            0.519760            0.483452            0.380572            0.763694            0.642376            0.549501            0.216169            0.791862            0.905021            0.416964            0.347666            0.396694            0.402007            0.553127            0.636232            0.888605            0.625741            0.231591            0.905043            0.217817
   HI            0.915581            0.950217            0.685373            0.669822            0.869029            0.956030            0.878602            0.981850                 NaN            0.437421            0.586216            0.603901            0.463888            0.989811            0.554743            0.652328            0.443013            0.803879            0.679704            0.333080            0.000000
   IA            0.833991            0.785359            0.717301            0.782487            0.740018            0.929186            0.684859            0.460355            0.845017            0.745131            0.722423            0.629695            0.871298            0.719804            0.950228            0.541194            0.810023            0.521398            0.329333            0.526134            0.790323
   ID            0.818548            0.833928            0.688933            0.759017            0.630662            0.964381            0.568990            0.657887            0.409237            0.538005            0.591964            0.495696            0.565581            0.413937            0.431442            0.250538            0.945538            0.753088            0.231241            0.658922            0.764370
   IL            0.751515            0.738346            0.631854            0.534621            0.814990            0.633370            0.839299            0.147351            0.653602            0.540840            0.673040            0.721411            0.721270            0.619814            0.713606            0.780145            0.786144            0.672011            0.715175            0.652385            0.586550
   IN            0.475852            0.460424            0.459932            0.363750            0.605318            0.683113            0.643271            0.146366            0.803809            0.937900            0.480833            0.487302            0.689432            0.448242            0.792962            0.570625            0.910748            0.540846            0.313203            0.994370            0.712463
   KS            0.665614            0.644224            0.560057            0.553674            0.630183            0.788833            0.569808            0.558030            0.644500            0.823707            0.549835            0.413995            0.602606            0.478372            0.706392            0.425973            0.949011            0.638664            0.309014            0.419838            0.846527
