               State  fatalities  fatalities_norm
             Alabama        5941        78.430116
              Alaska         495        98.952406
             Arizona        7429        72.822851
            Arkansas        3902        86.113728
          California       26059         2.618985
            Colorado        4425        84.142895
         Connecticut        1882        93.725741
            Delaware         862        97.569431
District of Columbia         217       100.000000
             Florida       22120        17.462411
             Georgia       10717        60.432604
              Hawaii         585        98.613257
               Idaho        1482        95.233071
            Illinois        7883        71.112032
             Indiana        5743        79.176244
                Iowa        1964        93.416739
              Kansas        2430        91.660700
            Kentucky        4758        82.888043
           Louisiana        5420        80.393413
               Maine         916        97.365942
            Maryland        3421        87.926292
       Massachusetts        2272        92.256095
            Michigan        6797        75.204432
           Minnesota        2579        91.099220
         Mississippi        4270        84.726985
            Missouri        6251        77.261936
             Montana        1176        96.386178
            Nebraska        1410        95.504390
              Nevada        2266        92.278705
       New Hampshire         660        98.330633
          New Jersey        4008        85.714286
          New Mexico        2813        90.217432
            New York        6544        76.157817
      North Carolina        9680        64.340355
        North Dakota         642        98.398463
                Ohio        8001        70.667370
            Oklahoma        4319        84.542337
              Oregon        3284        88.442552
        Pennsylvania        7092        74.092776
        Rhode Island         344        99.521423
      South Carolina        6620        75.871425
        South Dakota         821        97.723933
           Tennessee        7973        70.772883
               Texas       26754         0.000000
                Utah        2060        93.054980
             Vermont         382        99.378227
            Virginia        5323        80.758940
          Washington        3985        85.800957
       West Virginia        1580        94.863775
           Wisconsin        3662        87.018126
             Wyoming         761        97.950032
