feature,mean_abs_shap
v014_rawvalue_norm,0.052239794096127376
v149_rawvalue_norm,0.029914664212817126
v147_rawvalue_norm,0.013141331622571813
v063_rawvalue_norm,0.008648888724283476
v132_rawvalue_norm,0.007862650362045741
v131_rawvalue_norm,0.004029376673217839
v044_rawvalue_norm,0.003191676407911504
v169_rawvalue_norm,0.0025153381508855916
real_gdp_total_norm,0.002414731028947078
v140_rawvalue_norm,0.0003829030191321794
v070_rawvalue_norm,0.0
v049_rawvalue_norm,0.0
v004_rawvalue_norm,0.0
v143_rawvalue_norm,0.0
v011_rawvalue_norm,0.0
v009_rawvalue_norm,0.0
v060_rawvalue_norm,0.0
v061_rawvalue_norm,0.0
v138_rawvalue_norm,0.0
v045_rawvalue_norm,0.0
v069_rawvalue_norm,0.0
v024_rawvalue_norm,0.0
v005_rawvalue_norm,0.0
v085_rawvalue_norm,0.0
v088_rawvalue_norm,0.0
v062_rawvalue_norm,0.0
v141_rawvalue_norm,0.0
v136_rawvalue_norm,0.0
v154_rawvalue_norm,0.0
v067_rawvalue_norm,0.0
v036_rawvalue_norm,0.0
v137_rawvalue_norm,0.0
v042_rawvalue_norm,0.0
v144_rawvalue_norm,0.0
v153_rawvalue_norm,0.0
v023_rawvalue_norm,0.0
v168_rawvalue_norm,0.0
v145_rawvalue_norm,0.0
v172_rawvalue_norm,0.0
v171_rawvalue_norm,0.0
v167_rawvalue_norm,0.0
v177_rawvalue_norm,0.0
v183_rawvalue_norm,0.0
v151_rawvalue_norm,0.0
v184_rawvalue_norm,0.0
real_pce_total_norm,0.0
disposable_income_total_norm,0.0
real_pc_income_norm,0.0
pc_pce_norm,0.0
rpp_index_norm,0.0
employment_total_norm,0.0
arts_ratio_norm,0.0
