feature,mean_abs_shap
v014_rawvalue_norm,0.03806868616141989
v063_rawvalue_norm,0.013813904656183153
v085_rawvalue_norm,0.011241912199304186
v011_rawvalue_norm,0.009908763388846843
v149_rawvalue_norm,0.008563348026942993
v147_rawvalue_norm,0.007380658187698284
v009_rawvalue_norm,0.006696042370917752
v069_rawvalue_norm,0.0038988806177814965
v024_rawvalue_norm,0.0030047411793302377
v045_rawvalue_norm,0.002562667629293311
real_pc_income_norm,0.002074752341884175
v044_rawvalue_norm,0.0010489881223001746
v070_rawvalue_norm,0.0009995440460887643
v184_rawvalue_norm,0.0005927752715919254
v061_rawvalue_norm,0.0005437134225524073
real_gdp_total_norm,0.0004000596964208545
v067_rawvalue_norm,0.0003984552672527342
v136_rawvalue_norm,0.00019724253560580125
v169_rawvalue_norm,0.00015412125503274938
v088_rawvalue_norm,0.00010839948609677082
v168_rawvalue_norm,8.924930834024875e-05
v005_rawvalue_norm,8.823214932339746e-05
v143_rawvalue_norm,0.0
v138_rawvalue_norm,0.0
v060_rawvalue_norm,0.0
v132_rawvalue_norm,0.0
v004_rawvalue_norm,0.0
v049_rawvalue_norm,0.0
v131_rawvalue_norm,0.0
v062_rawvalue_norm,0.0
v140_rawvalue_norm,0.0
v137_rawvalue_norm,0.0
v154_rawvalue_norm,0.0
v153_rawvalue_norm,0.0
v141_rawvalue_norm,0.0
v023_rawvalue_norm,0.0
v144_rawvalue_norm,0.0
v145_rawvalue_norm,0.0
v036_rawvalue_norm,0.0
v042_rawvalue_norm,0.0
v167_rawvalue_norm,0.0
v172_rawvalue_norm,0.0
v171_rawvalue_norm,0.0
v151_rawvalue_norm,0.0
v183_rawvalue_norm,0.0
v177_rawvalue_norm,0.0
real_pce_total_norm,0.0
disposable_income_total_norm,0.0
pc_pce_norm,0.0
rpp_index_norm,0.0
employment_total_norm,0.0
arts_ratio_norm,0.0
