State,life_expectancy,State_abbr,life_expectancy_norm,poverty_rate_2023,poverty_norm,mental_health_norm,mental_health_index,State_edu,education_index_raw,education_index_norm,State_unemp,unemployment_rate_avg,unemployment_norm,State_inc,median_income,income_norm,predictor_index,Percentile_Class
Alaska,77.7,AK,50.769230769230724,13.832258064516129,59.96041863342603,55.40749242872944,37.17857142857143,AK,53.78288105776297,7.241789579523447,AK,6.393548387096774,23.922199837575597,AK,77683.16129032258,57.34941323381963,41.26305423053457,Tier_2
Alabama,75.2,AL,12.307692307692264,19.00735294117647,20.766862140038178,46.007092245751544,38.16428571428571,AL,48.413501568736585,3.6057328209337727,AL,3.1980392156862743,80.67498074980564,AL,52715.23529411765,9.410976838817444,27.23087108730238,Tier_1
Arkansas,75.7,AR,19.999999999999957,18.657894736842106,23.41348219244108,26.326828046117466,31.727272727272727,AR,49.26804206229007,4.184413792063478,AR,4.014035087719298,66.18275667324852,AR,49539.64473684211,3.313840618145278,23.683255872537647,Tier_1
Arizona,78.8,AZ,67.69230769230757,16.68125,38.38359172805098,57.51207385475995,37.028571428571425,AZ,50.970542076535736,5.337319206171105,AZ,5.402083333333334,41.53078612541654,AZ,61300.3125,25.89433142913983,37.74443147426655,Tier_2
California,80.9,CA,100.0,13.230508474576272,64.51776629762978,57.25840039460712,36.15,CA,51.125902681489954,5.442526889631899,CA,5.9627118644067805,31.57392902050874,CA,81596.54237288136,64.8631078091786,53.64118731168229,Tier_4
Colorado,80.0,CO,86.15384615384608,12.447692307692307,70.44642082318771,54.119246924060064,14.5125,CO,55.717238148845446,8.551704847932172,CO,3.7671794871794875,70.56695370192078,CO,73240.32307692307,48.819160575320474,56.6541290116795,Tier_4
Connecticut,80.3,CT,90.76923076923063,9.870000000000001,89.96856128475677,61.88714040354615,36.3,CT,55.64699947974767,8.504140359706062,CT,4.607407407407408,55.6443643694716,CT,89088.6,79.24786399917649,64.55958745165721,Tier_5
District of Columbia,78.0,DC,55.3846153846153,15.2,49.601831574756126,63.940276527521696,36.66428571428572,DC,58.42778472066458,10.387243051569582,DC,5.466666666666666,40.38377525151869,DC,99897.0,100.0,52.314109732040095,Tier_3
Delaware,78.1,DE,56.92307692307674,10.875,82.35719855332138,67.41899537218022,36.721428571428575,DE,54.40186993214784,7.660958812169179,DE,4.658333333333333,54.73991135062741,DE,80103.5,61.99646534803483,54.07038339514902,Tier_4
Florida,79.0,FL,70.76923076923069,14.541176470588235,54.59142844874363,57.2190834416816,28.072727272727274,FL,50.95132557997073,5.324306106174278,FL,3.6671568627450983,72.34337235268795,FL,63205.779411764706,29.552829310233275,47.48921976507466,Tier_2
Georgia,77.4,GA,46.15384615384615,18.139375,27.340488959121366,48.538146725195226,37.114285714285714,GA,48.66770673863022,3.7778764416164297,GA,3.6920833333333336,71.90067403817025,GA,58479.9875,20.479305341418936,35.25841169032196,Tier_1
Hawaii,80.9,HI,100.0,10.92,82.01639126683921,76.13958655383546,25.90909090909091,HI,53.58480138798629,7.107653237791098,HI,4.34,60.39356494842074,HI,86572.6,74.41714213672951,65.81900815758152,Tier_5
Iowa,79.0,IA,70.76923076923069,10.804,82.89491671643772,64.64650129637218,36.800000000000004,IA,54.881639447111056,7.985850951198005,IA,3.0820000000000003,82.73585675792025,IA,67925.65,38.614984333487925,57.33165275935648,Tier_4
Idaho,79.5,ID,78.46153846153837,11.471111111111112,77.84255388177347,66.72306741114829,38.042857142857144,ID,52.56075403546275,6.414184969275354,ID,3.574074074074074,73.99653835183739,ID,65190.48888888889,33.36347297547553,55.17087679008623,Tier_4
Illinois,79.0,IL,70.76923076923069,12.792233009708736,67.83704345125692,63.7838246558139,27.91818181818182,IL,53.489663733991186,7.043227560576022,IL,4.790614886731391,52.3905686900286,IL,66428.02912621359,35.73955114721728,48.30391526294845,Tier_3
Indiana,77.0,IN,39.999999999999915,11.698924731182796,76.11720851109983,51.49261777151549,38.01428571428572,IN,51.91870636924029,5.979400696553327,IN,3.250537634408602,79.74259999413668,IN,66285.0752688172,35.465079635195885,47.82738140413516,Tier_3
Kansas,78.2,KS,58.46153846153842,11.839622641509434,75.05163355483016,64.62125715683618,37.385714285714286,KS,53.93651031963167,7.345824825509781,KS,2.5336477987421384,92.47468417833721,KS,61994.03773584906,27.226284395494055,53.249198908023224,Tier_3
