               State  hate_crime_count  hate_crime_norm
             Alabama               970         0.933158
              Alaska               135         0.992345
             Arizona              2324         0.837185
            Arkansas               197         0.987950
          California             14135         0.000000
            Colorado              2002         0.860009
         Connecticut               964         0.933584
            Delaware               173         0.989651
District of Columbia              1513         0.894670
             Federal               925         0.936348
             Florida              1569         0.890700
             Georgia              1200         0.916856
                Guam                27         1.000000
              Hawaii               353         0.976893
               Idaho               375         0.975333
            Illinois              1689         0.882194
             Indiana              1249         0.913382
                Iowa               416         0.972427
              Kansas               942         0.935143
            Kentucky              1854         0.870499
           Louisiana               560         0.962220
               Maine               492         0.967040
            Maryland              1240         0.914020
       Massachusetts              4254         0.700383
            Michigan              4103         0.711086
           Minnesota              1654         0.884675
         Mississippi               205         0.987383
            Missouri              1421         0.901191
             Montana               212         0.986887
            Nebraska               481         0.967820
              Nevada               815         0.944145
       New Hampshire               244         0.984619
          New Jersey              8470         0.401545
          New Mexico               392         0.974128
            New York              6937         0.510207
      North Carolina              2270         0.841012
        North Dakota               211         0.986958
                Ohio              4245         0.701021
            Oklahoma               512         0.965622
              Oregon              2136         0.850510
        Pennsylvania              1586         0.889495
        Rhode Island               173         0.989651
      South Carolina               790         0.945917
        South Dakota               179         0.989226
           Tennessee              1273         0.911681
               Texas              3893         0.725971
                Utah               740         0.949461
             Vermont               400         0.973561
            Virginia              1923         0.865608
          Washington              4792         0.662248
       West Virginia               571         0.961440
           Wisconsin               839         0.942444
             Wyoming               114         0.993833
