State,real_gdp_total_norm,real_pce_total_norm,disposable_income_total_norm,real_pc_income_norm,pc_pce_norm,rpp_index_norm,employment_total_norm,arts_ratio_norm
AL,0.06344275385225175,0.09714075193948407,0.07165182983146137,0.12793651259763905,0.14741614376293571,0.8979905309190789,0.09682182280566108,0.07916985237951374
AK,0.006184747877085737,0.004823548882287675,0.004559344392629,0.34258090092206495,0.4152994513617399,0.38943402363656054,0.0020810881539910083,0.25364671275908196
AZ,0.11540091724591442,0.15583353948128725,0.12503946979340325,0.15121571621542257,0.27273892046387854,0.507038563012758,0.15178236761334507,0.16347264364565986
AR,0.0324943390938012,0.05295697608217054,0.04027517915142486,0.21973189639983554,0.14216629981274026,0.9262351367956919,0.05285888618454728,0.0923031211591506
CA,0.9514603957667198,0.9467977573354307,0.8955573831251886,0.4106566042168321,0.43092414336870455,0.03650294553471373,0.9599610511271465,0.7489106747379115
CO,0.11827379641210914,0.1403011060298508,0.12281611038922961,0.49901626827979095,0.41885410164591474,0.3864975243051788,0.14635456737880997,0.3138579160875499
CT,0.07446651950412639,0.08335976348941689,0.07946352002168384,0.7198566981852352,0.4471894608889911,0.3177021215078246,0.07707163884292303,0.2772501712541203
DE,0.014319289982021487,0.011520978580024566,0.007683304545513425,0.27391789510777,0.34345083609842636,0.5560735841555531,0.009464568161123163,0.006028626060951261
DC,0.03361971322880035,0.009326531113650562,0.008256112751497624,0.9558201679685205,0.8357469036433522,0.06375365932993574,0.019442937399455875,0.980302730411308
FL,0.3658971991588752,0.5415147432059291,0.43699320054025736,0.24774622658131204,0.3631131114688393,0.4091582637608876,0.542500725724563,0.1939898581508188
GA,0.19128988649603262,0.23265618383665304,0.1820795716606396,0.16848241028954014,0.2264693321068366,0.6355036322237884,0.25552073666106334,0.2757819524832403
HI,0.016564058749497908,0.01778329127842438,0.016585879236569578,0.08189199506665884,0.33741252997798876,0.06804546604503228,0.019168587702274625,0.2105964684769462
ID,0.018156530366482123,0.027125348179399874,0.0223689996338206,0.2152830798144124,0.15858930976707514,0.7873070945823846,0.03045585827502717,0.13539494808436464
IL,0.2542518003937005,0.2997868282162064,0.2516016413862669,0.383648029600047,0.33686389171786196,0.4628916838338935,0.2989617472667684,0.26636876889017846
IN,0.10936853979723868,0.14454193398032103,0.11391470568940272,0.25916191930463384,0.21451427445054044,0.7643481875022587,0.14552757892329082,0.10785066757376742
IA,0.05119284814851789,0.06070337700038194,0.04841488473984619,0.35215393199036826,0.1941620946811656,0.8629513173587771,0.06679609383469683,0.1172585177541935
KS,0.04364745500554142,0.054759342942143234,0.044076668689544365,0.37825218770188523,0.20999375800781891,0.8117749105497125,0.06163837035819223,0.15852997157219015
KY,0.057330175333489344,0.08869893194023258,0.06373321079996619,0.14290538556410406,0.178343572390683,0.8565271603599695,0.08807703045025103,0.1039919927804662
LA,0.06426730831594579,0.09280728679130841,0.07073880489017334,0.22243348798966348,0.19824567167121127,0.8280476345368462,0.09289635779590996,0.11150176731862682
ME,0.012405250613990773,0.021936970533199665,0.0149683593979058,0.23077318376695838,0.3711685666414797,0.5420958473381763,0.018416065933516086,0.12435717779447253
MD,0.11608601309767579,0.128143965123743,0.12195360399780433,0.3744640864509309,0.3119944807648083,0.2854729119230906,0.137205450141829,0.1681333979705337
MA,0.17387684222044278,0.17744239837568668,0.1660853040605242,0.6717639631174017,0.503350964223529,0.17614478297011088,0.17802888046214457,0.3295034753490228
MI,0.15427128111207997,0.22971998507127453,0.17142207976805204,0.22257297233805134,0.2602845034330957,0.6914326502584118,0.21211208284736593,0.18943987403927803
