State  real_gdp_total_norm  real_pce_total_norm  disposable_income_total_norm  real_pc_income_norm  pc_pce_norm  rpp_index_norm  employment_total_norm  arts_ratio_norm
   AL             0.063443             0.097141                      0.071652             0.127937     0.147416        0.897991               0.096822         0.079170
   AK             0.006185             0.004824                      0.004559             0.342581     0.415299        0.389434               0.002081         0.253647
   AZ             0.115401             0.155834                      0.125039             0.151216     0.272739        0.507039               0.151782         0.163473
   AR             0.032494             0.052957                      0.040275             0.219732     0.142166        0.926235               0.052859         0.092303
   CA             0.951460             0.946798                      0.895557             0.410657     0.430924        0.036503               0.959961         0.748911
   CO             0.118274             0.140301                      0.122816             0.499016     0.418854        0.386498               0.146355         0.313858
   CT             0.074467             0.083360                      0.079464             0.719857     0.447189        0.317702               0.077072         0.277250
   DE             0.014319             0.011521                      0.007683             0.273918     0.343451        0.556074               0.009465         0.006029
   DC             0.033620             0.009327                      0.008256             0.955820     0.835747        0.063754               0.019443         0.980303
   FL             0.365897             0.541515                      0.436993             0.247746     0.363113        0.409158               0.542501         0.193990
   GA             0.191290             0.232656                      0.182080             0.168482     0.226469        0.635504               0.255521         0.275782
   HI             0.016564             0.017783                      0.016586             0.081892     0.337413        0.068045               0.019169         0.210596
   ID             0.018157             0.027125                      0.022369             0.215283     0.158589        0.787307               0.030456         0.135395
   IL             0.254252             0.299787                      0.251602             0.383648     0.336864        0.462892               0.298962         0.266369
   IN             0.109369             0.144542                      0.113915             0.259162     0.214514        0.764348               0.145528         0.107851
   IA             0.051193             0.060703                      0.048415             0.352154     0.194162        0.862951               0.066796         0.117259
   KS             0.043647             0.054759                      0.044077             0.378252     0.209994        0.811775               0.061638         0.158530
   KY             0.057330             0.088699                      0.063733             0.142905     0.178344        0.856527               0.088077         0.103992
   LA             0.064267             0.092807                      0.070739             0.222433     0.198246        0.828048               0.092896         0.111502
   ME             0.012405             0.021937                      0.014968             0.230773     0.371169        0.542096               0.018416         0.124357
   MD             0.116086             0.128144                      0.121954             0.374464     0.311994        0.285473               0.137205         0.168133
   MA             0.173877             0.177442                      0.166085             0.671764     0.503351        0.176145               0.178029         0.329503
   MI             0.154271             0.229720                      0.171422             0.222573     0.260285        0.691433               0.212112         0.189440
   MN             0.106813             0.128288                      0.108792             0.441475     0.315927        0.551493               0.134369         0.202036
   MS             0.025885             0.047853                      0.033152             0.037808     0.104461        0.962892               0.049800         0.058086
   MO             0.093029             0.137021                      0.101851             0.273345     0.252360        0.777350               0.137797         0.183929
   MT             0.007108             0.014769                      0.009427             0.349518     0.304254        0.806092               0.013134         0.267300
   NE             0.032674             0.034504                      0.029169             0.483702     0.257344        0.795050               0.038065         0.187311
   NV             0.048219             0.061578                      0.050156             0.286383     0.276790        0.606193               0.063492         0.267324
   NH             0.017848             0.023196                      0.020916             0.466010     0.461983        0.289186               0.020307         0.206460
   NJ             0.186551             0.219801                      0.207072             0.463389     0.426581        0.139533               0.213623         0.266237
   NM             0.022890             0.031936                      0.023753             0.113504     0.161106        0.813699               0.028879         0.194326
   NY             0.529588             0.478887                      0.439629             0.473872     0.414856        0.163468               0.487508         0.624745
   NC             0.178919             0.237247                      0.184179             0.240045     0.236700        0.720608               0.242600         0.189644
   ND             0.008210             0.006766                      0.005152             0.589916     0.320099        0.839839               0.007185         0.168137
   OH             0.202154             0.268599                      0.204635             0.269895     0.233989        0.772796               0.269342         0.156352
   OK             0.051054             0.072692                      0.061869             0.267237     0.140471        0.870884               0.078434         0.107173
   OR             0.067255             0.082473                      0.071213             0.202707     0.302178        0.318895               0.087801         0.249099
   PA             0.226735             0.316390                      0.250087             0.377019     0.325770        0.592116               0.295331         0.194646
   RI             0.008786             0.011391                      0.010260             0.255550     0.307809        0.391006               0.010212         0.209226
   SC             0.068269             0.106610                      0.078929             0.139059     0.212336        0.740721               0.104685         0.150356
   SD             0.007180             0.008612                      0.008337             0.597272     0.259647        0.863846               0.009417         0.181892
   TN             0.115535             0.149381                      0.122494             0.284284     0.210296        0.791409               0.160362         0.227385
   TX             0.602278             0.676943                      0.588382             0.261702     0.253707        0.552929               0.750257         0.164744
   UT             0.056377             0.063070                      0.051034             0.249640     0.228651        0.664887               0.075973         0.289073
   VT             0.000657             0.002196                      0.001147             0.271114     0.368222        0.493133               0.001110         0.216784
   VA             0.166818             0.191173                      0.172292             0.382253     0.307106        0.423371               0.203649         0.157416
   WA             0.187354             0.171748                      0.173534             0.421669     0.375814        0.160703               0.171003         0.919228
   WV             0.014020             0.026717                      0.016687             0.071651     0.189796        0.864984               0.019078         0.072904
   WI             0.094071             0.130058                      0.101533             0.341979     0.259604        0.736610               0.132902         0.185991
   WY             0.001766             0.001136                      0.002111             0.733600     0.326814        0.786286               0.001127         0.381369
