State  predictor_index
   AK         0.500782
   AL         0.407168
   AR         0.377408
   AZ         0.486666
   CA         0.544665
   CO         0.580578
   CT         0.553842
   DC         0.432784
   DE         0.524863
   FL         0.493293
   GA         0.468448
   HI         0.507515
   IA         0.610434
   ID         0.580340
   IL         0.501099
   IN         0.491971
   KS         0.581948
   KY         0.411629
   LA         0.347898
   MA         0.536543
   MD         0.530736
   ME         0.518180
   MI         0.481191
   MN         0.640897
   MO         0.492888
   MS         0.357894
   MT         0.551591
   NC         0.504750
   ND         0.587284
   NE         0.605374
   NH         0.582104
   NJ         0.546395
   NM         0.424443
   NV         0.459316
   NY         0.485741
   OH         0.478265
   OK         0.428675
   OR         0.501469
   PA         0.490971
   RI         0.495449
   SC         0.459528
   SD         0.569009
   TN         0.416293
   TX         0.502502
   UT         0.640923
   VA         0.555826
   VT         0.564231
   WA         0.570123
   WI         0.559176
   WV         0.360564
   WY         0.612466
