State,v001_rawvalue_norm,v127_rawvalue_norm,v128_rawvalue_norm,v129_rawvalue_norm,v135_rawvalue_norm,v161_rawvalue_norm,v015_rawvalue_norm,v039_rawvalue_norm,v148_rawvalue_norm,v125_rawvalue_norm,v124_rawvalue_norm,v156_rawvalue_norm,v134_rawvalue_norm,v139_rawvalue_norm,v083_rawvalue_norm,v133_rawvalue_norm,v155_rawvalue_norm,v166_rawvalue_norm,v179_rawvalue_norm,v182_rawvalue_norm,v181_rawvalue_norm,hate_crime_count,hate_crime_norm,target_index,Percentile_Class
AK,0.4991587065480701,0.6293001355342888,0.25251830079159987,0.6228483812916324,0.40478191240714056,0.03669562016333346,0.6337387226408436,0.7431316083563585,0.037155459559948534,0.6732284910372847,0.30725157379629536,0.9445812845094387,0.34808131286403404,0.5043583830931191,0.4250450455751665,0.051305692523628564,0.015463158724386424,0.7943958904934929,0.4095218820894268,0.8576473839268468,0.4529099830949504,,,0.43832358768278584,1
AL,0.1782261078531965,0.1588215995653664,0.22039753410003884,0.16208889289338632,0.5731600229466062,0.5371980378255007,0.4637758117925132,0.22454885468102867,0.10780271440356405,0.24436401275962014,0.8902444819355774,0.9580908474075729,0.7224761758805628,0.18070432150941848,0.40347119436143836,0.27338474597013945,0.4081688852342446,0.30560021730793113,0.0872087051084938,0.5590617330346626,0.40943187477875864,,,0.36673758051589195,1
AR,0.2657563120753028,0.22795688899505176,0.22872228347119125,0.2284703749057134,0.5919021303050851,0.4032949762133395,0.586369679495454,0.28984832634651975,0.2252198672843487,0.27409181191645143,0.545042983417587,0.9759106296040412,0.7139750820311992,0.11129594842613146,0.30959141820345015,0.17417369983605555,0.6205802996394095,0.1505385122523775,0.07900891704509365,0.6074808283775256,0.4785702677731213,,,0.367627328982475,1
AZ,0.6117353848404953,0.6766464376590947,0.5952984668583148,0.6725865204084522,0.5287470664462774,0.4301637797767574,0.755100228808252,0.5763515972191687,0.39810960599465806,0.5829773089240841,0.12013127463948019,0.7975689382190532,0.8518574880763478,0.4697591463127258,0.41766310616435903,0.12872138009048031,0.5520732120912001,0.7576819348065357,0.4447176545679682,0.11094247880374897,0.33603795922524793,,,0.49158504408785003,2
CA,0.9647251818105086,0.9530510014715223,0.8984985952256573,0.9417436113873675,0.9767248019329838,0.802708685582803,0.8052578863769009,0.7693355505761819,0.7890686813721693,0.09052046294055766,0.29770957335875164,0.40276067018474504,0.6626864157964202,0.6233468053822077,0.842091016409337,0.689828700798549,0.4456447544485361,0.9307575131411303,0.7904935907658245,0.2232691632293904,0.2830449994021218,,,0.6446939846178938,4
CO,0.8524736781162994,0.9114995993775518,0.6981748456541977,0.8366100000046127,0.6126717579034197,0.29942065708686216,0.8380753108841463,0.7178618692598163,0.455201092636502,0.7260257551104976,0.3370974349022093,0.8338304500311621,0.4118799197189275,0.6967298565546197,0.6819696305189473,0.6318158484754849,0.7035653128742839,0.9717651642279561,0.6676210638991881,0.5855950345603474,0.8104238307159009,,,0.6491049142051333,4
CT,0.9141367387545872,0.9450168125111128,0.9353560603662002,0.8421169266895764,0.7241411449682538,0.8074898967486565,0.9124195684305144,0.8762846993306127,0.9145116768199634,0.5569975141557005,0.16796508946546637,0.8209155463786661,0.5367241146734337,0.5689088284529936,0.7553404212463913,0.8260047640028322,0.7980702219782897,0.8248599695155454,0.6557934312897636,,0.743544563616756,,,0.6875726358816053,5
DC,0.5257707641177668,0.4198884696473802,0.20219968402319025,0.3941588549087385,0.480038884163894,1.0,0.0,0.9928817970676236,0.281943452606164,0.26569146943103394,0.3333333333333333,0.14259348081266765,0.6810359659663184,0.6402314697012187,1.0,0.9683059809028941,0.37081547771752477,0.7057759635281357,1.0,1.0,,,,0.5183938658149038,2
DE,0.5595389345940087,0.636333013305147,0.5399841538675404,0.4072956138919402,0.5766839346839723,0.7414231065438831,0.7191163241248878,0.6195173649747439,0.613705654481135,0.4355904516022822,0.5488461148280702,0.8818905344198168,0.7420215179423012,0.5796767869396752,0.6288495200423663,0.7494585797389971,0.9816561185894487,0.8338998732168184,0.4907583571754372,0.8130200694407825,0.3789878866669223,,,0.6126479050486444,4
FL,0.6503593701864568,0.7045141833332097,0.5762864791382922,0.5596361600182563,0.5841933647833853,0.6250601418995162,0.7448169205262448,0.516722657656069,0.5313405826410599,0.47841624192799675,0.5239905296954409,0.8399356068160576,0.8725057983469634,0.5049672912070122,0.49052903687004507,0.5032136549336755,0.4848870573775031,0.7051362694806282,0.34283684263484765,0.5219097728892101,0.3316627988492304,,,0.5496782164186864,3
GA,0.5609139955264019,0.5303643209941679,0.4418742302404464,0.3392376712505609,0.7952069298885145,0.636231904678458,0.636975720825107,0.5343193798837722,0.3953578020231288,0.2197287807215462,0.8167181593149673,0.8886046756733039,0.9293174059494403,0.4960118640261129,0.30158978751006055,0.4127219030540503,0.551827863415496,0.6257412556729638,0.23159070165878223,0.9050425170879591,0.21781742298703527,,,0.5212361041991944,2
HI,0.9349390050480891,0.9617445700798699,0.6773296506576068,0.6625527724300974,0.8965185672609756,0.6523281549877806,0.9438107957958436,0.8944632813709928,0.986545484156271,0.9818499104538517,,0.443012909746068,0.5079300580383665,0.5630622588604736,0.626487514440972,0.3034884047147749,0.5689042186900738,0.8038786433714085,0.6797044493889765,0.33308004380758094,0.0,,,0.6100741224227307,3
IA,0.8336119937531392,0.78171690979483,0.6801665379087024,0.7498622214473487,0.7935578450236344,0.5411940552380807,0.9170005227563868,0.7040835475316697,0.7140377564125656,0.451427858820688,0.8944329008691557,0.8100231600442463,0.7059351564197455,0.7643640193213915,0.642339098916904,0.8940158267757051,0.9504392756493227,0.5213977794117588,0.32933294291911197,0.5261339348714621,0.7903229319792848,,,0.6816089216302335,5
ID,0.8455229346439461,0.856948247339585,0.6583772688114098,0.7702143603196446,0.6900201820687725,0.25053789211072197,0.9635354406257894,0.5755345115391487,0.41821117541685654,0.6082857758048711,0.4397706965925397,0.9455376143495818,0.527994721767959,0.665138050834486,0.4740890020683936,0.6046846286308418,0.43508335580064,0.7530877627265362,0.2312409199908547,0.658922375438582,0.7643700934189284,,,0.597141227740913,3
IL,0.7455667785864789,0.7364219559930639,0.6112941166622298,0.5474464352176501,0.7993382729033137,0.7801446767813852,0.6184429483137613,0.8240326888607111,0.606683707302702,0.1877802807527408,0.5973056294420563,0.7861440523716426,0.6056846256609322,0.6894914549174427,0.7194763889676127,0.701318996096893,0.7230653310316661,0.6720106062699597,0.7151753614529401,0.6523849941481394,0.5865502817237289,,,0.6320799810662295,4
IN,0.4741614839646083,0.46278691493110813,0.41192573572915353,0.34070228412421627,0.6061804161548222,0.5706253941189123,0.6697116813965677,0.6300626994116694,0.44409538487598815,0.22517621425495496,0.7611124710026025,0.910748138158641,0.9945934663156842,0.47849814135996643,0.4345851449210705,0.6417693524299988,0.8008405271445449,0.5408458707328313,0.31320278040574473,0.9943702066713759,0.7124631819474371,,,0.5644753404569045,3
KS,0.6683028649834295,0.6417347916200897,0.5309514037679844,0.5520161952719658,0.6774453143584154,0.4259730234645251,0.7803603864223176,0.580266928907422,0.4656404320915644,0.5274735324701001,0.6657627489296528,0.949011428323792,0.9390732297569547,0.5500799551038225,0.41330193024589984,0.601710717740863,0.7165849121405502,0.6386641382286609,0.30901408044633144,0.4198378879711815,0.8465267752138842,,,0.5863514853390639,3
KY,0.2294476778658672,0.18125841133936327,0.47305694199498977,0.49607968012110676,0.40154347487601577,0.49007912102231194,0.7104632812254318,0.3830404483716745,0.34448555611927745,0.309873951147958,0.8641229028446258,0.9343552835403193,0.7384956058513062,0.31231377542960836,0.6002299579108834,0.34838858586853755,0.5878196418032543,0.4358283793783432,0.22906090103319762,0.7978039657699478,0.42484851615846464,,,0.4678452754396583,1
LA,0.1969035998628813,0.21250265226574952,0.17134848350056053,0.2171648169677819,0.4457459156577219,0.600023498381513,0.31317487833925345,0.38525001442394413,0.09804079337438916,0.33512179842061807,0.29722854775487884,0.9229557077669361,0.5140000587651316,0.21669255958328396,0.2522058831696588,0.2718009493275649,0.4576433297793748,0.24173355452759324,0.21328648581164908,0.2014110881810217,0.4609457462652751,,,0.3193263800966719,1
MA,0.9661242590867606,0.9663319680348202,0.9977404879168222,0.9901134615991026,0.7913776388670636,0.8706090451323608,0.9587333281442724,0.9900807347346708,1.0,0.6010796186262546,0.3846902787157412,0.4362564729502357,0.5601116202836519,0.8166319169794617,0.7814668746851998,0.9697325622791029,0.9828370673918038,0.8811310952999758,0.6563329108705396,0.8645059773746463,0.7961510992019759,,,0.784638109917021,5
MD,0.6706002257506682,0.7115131644267813,0.6184684855472941,0.5080019433758748,0.5859768162600724,0.8357819473707716,0.5721612531000456,0.8213948415445257,0.5844171233315648,0.4650353115359575,0.8356152866918775,0.797995563717688,0.6189499290618562,0.6538969166116052,0.8208886997029721,0.7859041597231635,0.8033070504509207,0.8806505305756234,0.6396682739451022,1.0,0.4530085747646685,,,0.666510731704047,4
ME,0.6998809565601131,0.7324949466388354,0.7256124803288442,0.579330887019247,0.4387633994181864,0.4587691277968753,0.9962855978324628,0.6684842251000758,0.6177250702283398,0.6974440550010034,0.31894943605410764,0.9765691905295545,0.384810936204548,0.5072114420308883,0.8105361523926518,0.7404566201788002,0.5966621565251885,0.6124989998907223,0.12296566889510438,0.8081409323831128,0.7779705119960453,,,0.6032528542274868,3
MI,0.601000771180318,0.5982144465834431,0.5356866885930619,0.4488000075882208,0.6549478158109998,0.629132147497537,0.7054582794710281,0.7642612584767576,0.5606767450550093,0.4478643245650696,0.6859481062650805,0.8363017456336145,0.6030827931919956,0.42196256152376305,0.5833117145305802,0.5616065570015787,0.6239920825337859,0.6284278019776146,0.4218275556758733,0.9930939378423081,0.46440018667326227,,,0.58045443307595,3
MN,0.9807277599103745,0.9925992141233908,0.7774631108459805,0.7998122316996122,0.7907705201259928,0.6559710900060597,0.9322140889442235,0.8826776268707807,0.7781930888220598,0.6176580911913216,0.8001925617592217,0.8709655117254981,0.5771625301004203,0.8846469831243574,0.6400757772058592,0.8870286718063989,0.8770231956436113,0.7956842677623925,0.5758423651429956,0.6386877714191556,0.5485597151590753,,,0.7410889169722172,5
MO,0.44206168582448985,0.4467362224625835,0.4342023526920408,0.5074375005953421,0.46811065435621896,0.42677155046530507,0.5059703441770863,0.5041079572255852,0.16822056246282,0.38657162360251923,0.7440785171775578,0.907371907656712,0.6669388421119818,0.4173795638977457,0.5197379820905182,0.45598746962592335,0.6355002120766031,0.5343057450343645,0.3748343798455738,0.7957937298509936,0.5075382764333437,,,0.49316623089387773,2
MS,0.021299387528039577,0.002969840081986678,0.014314310112079768,0.0,0.48938775575399757,0.6239232863060283,0.34550665001900693,0.0,0.05377752950846134,0.2827014259174173,0.7888967454718457,0.9926356145591507,0.9861341637828032,0.0,0.18225229036522195,0.01744401999263417,0.4330955002413273,0.0,0.05145985290490289,0.542995306350428,0.21753568599743925,,,0.2748331529496715,1
MT,0.6405893231977443,0.7014320684751482,0.5067855858713491,0.7205415747755629,0.4643549131735027,0.03375220447240059,0.8636183404012184,0.34845515011451855,0.18351006437384598,0.7652831180347294,0.5625346509401205,0.9665430780527376,0.0,0.6773924920374593,0.48246653031495984,0.48125673253021395,0.4672562024245768,0.5442480200177521,0.20911817206783367,0.5936338211912613,0.5331359064609453,,,0.48845036131490377,2
NC,0.5610204560831559,0.5807951009161584,0.46998528254004673,0.36428317890472134,0.6346160330632152,0.6626488343452002,0.71157112377011,0.5159140594733733,0.4927845774114055,0.40295587488494194,0.7293737135386995,0.9475666396917183,0.7065622641078377,0.3908665018429823,0.5066416015612986,0.5048818701637615,0.8283350051680857,0.5646702103634611,0.3554216808044377,0.63586251207437,0.2783027343988576,,,0.5384117843230836,2
