State  target_index Percentile_Class
   AK      0.438324                1
   AL      0.366738                1
   AR      0.367627                1
   AZ      0.491585                2
   CA      0.644694                4
   CO      0.649105                4
   CT      0.687573                5
   DC      0.518394                2
   DE      0.612648                4
   FL      0.549678                3
   GA      0.521236                2
   HI      0.610074                3
   IA      0.681609                5
   ID      0.597141                3
   IL      0.632080                4
   IN      0.564475                3
   KS      0.586351                3
   KY      0.467845                1
   LA      0.319326                1
   MA      0.784638                5
   MD      0.666511                4
   ME      0.603253                3
   MI      0.580454                3
   MN      0.741089                5
   MO      0.493166                2
   MS      0.274833                1
   MT      0.488450                2
   NC      0.538412                2
   ND      0.603721                3
   NE      0.643266                4
   NH      0.713660                5
   NJ      0.748907                5
   NM      0.358833                1
   NV      0.517367                2
   NY      0.748374                5
   OH      0.559964                3
   OK      0.385236                1
   OR      0.622143                4
   PA      0.596901                3
   RI      0.682901                5
   SC      0.443666                1
   SD      0.520961                2
   TN      0.459545                1
   TX      0.513793                2
   UT      0.664692                4
   VA      0.667132                5
   VT      0.668974                5
   WA      0.666227                4
   WI      0.653456                4
   WV      0.389477                1
   WY      0.541956                2
