State  v001_rawvalue_norm  v127_rawvalue_norm  v128_rawvalue_norm  v129_rawvalue_norm  v135_rawvalue_norm  v161_rawvalue_norm  v015_rawvalue_norm  v039_rawvalue_norm  v148_rawvalue_norm  v125_rawvalue_norm  v124_rawvalue_norm  v156_rawvalue_norm  v134_rawvalue_norm  v139_rawvalue_norm  v083_rawvalue_norm  v133_rawvalue_norm  v155_rawvalue_norm  v166_rawvalue_norm  v179_rawvalue_norm  v182_rawvalue_norm  v181_rawvalue_norm
   AK            0.499159            0.629300            0.252518            0.622848            0.404782            0.036696            0.633739            0.743132            0.037155            0.673228            0.307252            0.944581            0.348081            0.504358            0.425045            0.051306            0.015463            0.794396            0.409522            0.857647            0.452910
   AL            0.178226            0.158822            0.220398            0.162089            0.573160            0.537198            0.463776            0.224549            0.107803            0.244364            0.890244            0.958091            0.722476            0.180704            0.403471            0.273385            0.408169            0.305600            0.087209            0.559062            0.409432
   AR            0.265756            0.227957            0.228722            0.228470            0.591902            0.403295            0.586370            0.289848            0.225220            0.274092            0.545043            0.975911            0.713975            0.111296            0.309591            0.174174            0.620580            0.150539            0.079009            0.607481            0.478570
   AZ            0.611735            0.676646            0.595298            0.672587            0.528747            0.430164            0.755100            0.576352            0.398110            0.582977            0.120131            0.797569            0.851857            0.469759            0.417663            0.128721            0.552073            0.757682            0.444718            0.110942            0.336038
   CA            0.964725            0.953051            0.898499            0.941744            0.976725            0.802709            0.805258            0.769336            0.789069            0.090520            0.297710            0.402761            0.662686            0.623347            0.842091            0.689829            0.445645            0.930758            0.790494            0.223269            0.283045
   CO            0.852474            0.911500            0.698175            0.836610            0.612672            0.299421            0.838075            0.717862            0.455201            0.726026            0.337097            0.833830            0.411880            0.696730            0.681970            0.631816            0.703565            0.971765            0.667621            0.585595            0.810424
   CT            0.914137            0.945017            0.935356            0.842117            0.724141            0.807490            0.912420            0.876285            0.914512            0.556998            0.167965            0.820916            0.536724            0.568909            0.755340            0.826005            0.798070            0.824860            0.655793                 NaN            0.743545
   DC            0.525771            0.419888            0.202200            0.394159            0.480039            1.000000            0.000000            0.992882            0.281943            0.265691            0.333333            0.142593            0.681036            0.640231            1.000000            0.968306            0.370815            0.705776            1.000000            1.000000                 NaN
   DE            0.559539            0.636333            0.539984            0.407296            0.576684            0.741423            0.719116            0.619517            0.613706            0.435590            0.548846            0.881891            0.742022            0.579677            0.628850            0.749459            0.981656            0.833900            0.490758            0.813020            0.378988
   FL            0.650359            0.704514            0.576286            0.559636            0.584193            0.625060            0.744817            0.516723            0.531341            0.478416            0.523991            0.839936            0.872506            0.504967            0.490529            0.503214            0.484887            0.705136            0.342837            0.521910            0.331663
   GA            0.560914            0.530364            0.441874            0.339238            0.795207            0.636232            0.636976            0.534319            0.395358            0.219729            0.816718            0.888605            0.929317            0.496012            0.301590            0.412722            0.551828            0.625741            0.231591            0.905043            0.217817
   HI            0.934939            0.961745            0.677330            0.662553            0.896519            0.652328            0.943811            0.894463            0.986545            0.981850                 NaN            0.443013            0.507930            0.563062            0.626488            0.303488            0.568904            0.803879            0.679704            0.333080            0.000000
   IA            0.833612            0.781717            0.680167            0.749862            0.793558            0.541194            0.917001            0.704084            0.714038            0.451428            0.894433            0.810023            0.705935            0.764364            0.642339            0.894016            0.950439            0.521398            0.329333            0.526134            0.790323
   ID            0.845523            0.856948            0.658377            0.770214            0.690020            0.250538            0.963535            0.575535            0.418211            0.608286            0.439771            0.945538            0.527995            0.665138            0.474089            0.604685            0.435083            0.753088            0.231241            0.658922            0.764370
   IL            0.745567            0.736422            0.611294            0.547446            0.799338            0.780145            0.618443            0.824033            0.606684            0.187780            0.597306            0.786144            0.605685            0.689491            0.719476            0.701319            0.723065            0.672011            0.715175            0.652385            0.586550
   IN            0.474161            0.462787            0.411926            0.340702            0.606180            0.570625            0.669712            0.630063            0.444095            0.225176            0.761112            0.910748            0.994593            0.478498            0.434585            0.641769            0.800841            0.540846            0.313203            0.994370            0.712463
   KS            0.668303            0.641735            0.530951            0.552016            0.677445            0.425973            0.780360            0.580267            0.465640            0.527474            0.665763            0.949011            0.939073            0.550080            0.413302            0.601711            0.716585            0.638664            0.309014            0.419838            0.846527
   KY            0.229448            0.181258            0.473057            0.496080            0.401543            0.490079            0.710463            0.383040            0.344486            0.309874            0.864123            0.934355            0.738496            0.312314            0.600230            0.348389            0.587820            0.435828            0.229061            0.797804            0.424849
   LA            0.196904            0.212503            0.171348            0.217165            0.445746            0.600023            0.313175            0.385250            0.098041            0.335122            0.297229            0.922956            0.514000            0.216693            0.252206            0.271801            0.457643            0.241734            0.213286            0.201411            0.460946
   MA            0.966124            0.966332            0.997740            0.990113            0.791378            0.870609            0.958733            0.990081            1.000000            0.601080            0.384690            0.436256            0.560112            0.816632            0.781467            0.969733            0.982837            0.881131            0.656333            0.864506            0.796151
   MD            0.670600            0.711513            0.618468            0.508002            0.585977            0.835782            0.572161            0.821395            0.584417            0.465035            0.835615            0.797996            0.618950            0.653897            0.820889            0.785904            0.803307            0.880651            0.639668            1.000000            0.453009
