feature,mean_abs_shap
v014_rawvalue_norm,0.03884977904582771
v063_rawvalue_norm,0.013198930362211977
v149_rawvalue_norm,0.010088002322407471
v011_rawvalue_norm,0.00969773884748248
v085_rawvalue_norm,0.008775868940911787
v147_rawvalue_norm,0.006783159498953926
v009_rawvalue_norm,0.005938780331003734
v070_rawvalue_norm,0.003033223520731647
v045_rawvalue_norm,0.0028524235369081982
v069_rawvalue_norm,0.002571660262247779
v024_rawvalue_norm,0.0014311674030593896
v132_rawvalue_norm,0.0009225032142997512
v169_rawvalue_norm,0.0006913108267287059
v067_rawvalue_norm,0.00018725782030800872
v131_rawvalue_norm,0.00017353267655177695
v136_rawvalue_norm,0.00015401486549408193
arts_ratio_norm,0.00011361918241706292
real_pc_income_norm,0.00010325961226968078
v062_rawvalue_norm,8.45729416105613e-05
real_gdp_total_norm,6.767970998447156e-05
v044_rawvalue_norm,6.575348708685688e-05
v005_rawvalue_norm,0.0
v143_rawvalue_norm,0.0
v138_rawvalue_norm,0.0
v060_rawvalue_norm,0.0
v061_rawvalue_norm,0.0
v004_rawvalue_norm,0.0
v049_rawvalue_norm,0.0
v088_rawvalue_norm,0.0
v153_rawvalue_norm,0.0
v036_rawvalue_norm,0.0
v137_rawvalue_norm,0.0
v154_rawvalue_norm,0.0
v140_rawvalue_norm,0.0
v141_rawvalue_norm,0.0
v023_rawvalue_norm,0.0
v168_rawvalue_norm,0.0
v145_rawvalue_norm,0.0
v144_rawvalue_norm,0.0
v042_rawvalue_norm,0.0
v167_rawvalue_norm,0.0
v171_rawvalue_norm,0.0
v172_rawvalue_norm,0.0
v151_rawvalue_norm,0.0
v184_rawvalue_norm,0.0
v183_rawvalue_norm,0.0
v177_rawvalue_norm,0.0
real_pce_total_norm,0.0
disposable_income_total_norm,0.0
pc_pce_norm,0.0
rpp_index_norm,0.0
employment_total_norm,0.0
